allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
108.29	122.95	128.84	121.36	150.52	82.89	99.62	133.67	71.65	116.72	88.62	100.36	119.92	129.99	119.09	116.04	109.86	98.7	102.2	130.87	142.55	88.34	130.55	157.41	124.05	136.2	99.12	75.69	121.39	121.91	121.23	64.32
115.8	133.88	140.97	133.94	161.04	93.86	109.21	145.34	78.98	125.88	96.75	109.68	129.21	138.22	127.92	125.07	118.82	107.25	111.75	139.91	150.73	96.78	140.71	167.92	133.43	145.91	105.98	85.14	131.43	132.61	130.56	74.55
124.2	143.21	150.31	142.66	170.91	103.27	117.74	155.67	86.14	135.43	105.72	120	138.63	146.99	137.75	134.38	128.14	116.35	122.21	150.04	160	106.34	151.31	179.58	143.35	156.2	114.02	95.06	141.66	142.51	138.96	83.01
133.87	157.93	165.25	158.2	187.11	118.09	129	172.03	95.18	148.1	117.55	133.16	149.95	158.4	150.69	145.66	139.45	127.38	134.23	162.11	171.36	117.1	163.51	192.71	155.54	168.17	123.97	107.41	153.61	155.15	150.05	94.59
149.95	176.14	185.71	177.89	207.93	138.53	145.5	191.95	108.33	164.56	133.96	149.38	164.71	173.64	167.63	160.22	154.89	140.46	148.41	177.37	185.54	130.99	178.56	208.92	170.5	183.37	137.28	123.29	168.87	170.99	164.56	110.27
152.82	183.58	192.14	185.54	214.31	145.8	151.33	200	114.18	171.18	139.98	157.18	171.71	180.5	173.78	167.04	161.53	147.36	156.32	185.58	192.77	138.48	186.8	217.35	178.76	190.78	142.64	131.99	176.66	178.92	170.41	117.71
160.05	193.25	201.31	195.23	223.29	155.84	158.7	209.77	122.17	181.39	148.46	167.16	180.68	188.97	183.94	175.79	170.39	155.69	166.12	195.44	201.13	146.83	196.62	227.46	187.68	200.38	150.3	141.28	186.8	188.36	179.11	127.37
169.18	204.72	213.54	207.98	235.73	166.87	168.6	222.68	131.28	192.4	158.57	178.59	190.99	199.14	194.87	185.75	180.82	165.23	176.66	205.2	210.63	156.64	207.15	239.17	197.97	210.93	158.81	152.34	197.71	199.43	188.74	138
176.03	216.95	226.53	220.03	249.68	181.12	178.8	236.29	139.29	202.64	168.67	189.4	200.46	208.6	205.14	195.98	190.88	174.98	186.75	215.45	220.02	166.69	217.35	251.12	208.29	221.34	167.04	162.86	207.65	210.2	198.3	149.18
184.42	223.86	233.84	227.5	256.72	188.88	184.94	244.16	145.35	209.84	175.02	197.14	207.23	215.27	211.52	202.48	197.58	181.28	194.22	222.83	226.38	173.62	224.77	260.27	215.34	228.06	172.9	171.43	215.17	217.06	204.49	156.2
