allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
114.86	120.17	126.28	116.92	145.31	80.91	96.7	129.67	71.96	112.62	86.05	98.37	118.61	128.38	116.51	113.68	106.74	98.09	101.03	129.32	140.37	88.19	128.59	154.91	121.34	134.33	98.15	75.75	118.45	120.07	119.44	63.74
121.9	128.56	135.63	126.73	154.14	89.02	103.76	138.72	77.56	120.11	93.38	106.63	126.14	135.85	124.52	120.77	113.91	105.15	108.26	136.69	147.21	95.07	137.01	162.96	129.23	141.73	104.36	82.86	126.54	128.15	126.51	70.73
131.04	139.44	146.39	138.43	165.78	100.06	112.81	150.67	85.64	131.24	103.13	117.2	136.03	145.44	135.19	131.34	123.91	114.56	118.76	147.27	157.2	104.34	147.4	174.51	139.34	152.25	113.32	92.82	137.02	138.97	136.72	79.5
139.59	148.66	157.03	148.11	176.51	110.12	121.82	161.3	93.33	140.51	111.86	127.04	144.96	154.53	144.17	140.23	133.38	123.02	128.11	156.71	166.19	113.25	156.57	185.07	148.64	161.7	121.37	102.18	146.57	148.39	145.13	88.58
149.01	159.7	168.4	159.99	187.73	121.3	131.5	172.05	101.89	150.65	121.99	137.3	154.13	163.77	154.5	149.72	142.57	132.58	138.31	166.59	175.85	122.93	166.66	195.82	158.88	171.67	130.64	112.01	156.76	158.75	154.35	98.32
158.65	168.87	178.28	169.16	197.57	132.66	139.75	183.07	109.62	160.1	131.49	146.74	163.67	173.1	164.22	158.59	152.19	141.31	147.72	175.99	185.07	132.49	176.76	205.59	168.07	181.21	138.75	121.61	166.23	168.53	163.01	107.61
167.41	178.18	188.7	179.37	207.21	141.61	148.1	193.82	117.49	169.55	139.81	156.09	172.02	182.09	173.13	166.92	160.44	149.72	156.44	185.41	193.89	140.37	186.24	215	176.84	190.53	146.54	131.65	175.03	177.51	171.55	116.86
176.28	187.86	197.52	189.47	217.03	151.61	155.77	202.94	125.88	178.6	148.85	165.37	181.21	190.92	182.95	176.01	169.18	158.06	165.9	194.59	201.86	149.42	195.9	224.69	186.47	199.74	154.35	140.79	184.46	187.49	180.19	126.47
185.63	196.78	207.44	198.8	226.99	161.4	164.32	213.48	134.06	188.48	157.77	175.14	190.37	199.58	192.5	184.7	178.56	166.39	174.86	203.34	210.75	157.7	204.45	234.26	195.36	208.52	162.47	150.11	193.64	196.34	189.06	135.7
194.95	205.78	216.79	208.54	236.16	170.98	171.59	222.93	141.85	197.28	166.75	184.89	198.85	208.34	201.66	193.86	187.55	175.26	184.01	212.93	218.91	166.45	213.45	243.92	203.97	217.4	170.54	159.92	202.85	205.76	197.54	144.41
275.39	283.24	297.4	289.56	317.74	252.14	237.82	306.49	209.2	277.23	241.77	265.75	274.47	283.33	281.19	268.12	262.88	246.42	261.92	291.71	293.19	240.12	294.23	328.75	281.41	296.46	237.13	240.28	282.28	286.78	269.78	222.7
338.27	344.82	362.49	354.03	383.77	317.59	290.95	373.23	264.23	342.27	303.64	331.99	334.82	342.88	345.83	327.02	322.49	305.08	324.7	356.01	351.98	300.21	359.29	397.6	343.15	359.95	291.65	307.57	346.31	352.08	327.24	287.41
389.31	394.99	414.55	407.2	436.91	370.19	333.38	427.84	306.63	395.16	351.84	385.94	383.87	391.45	397.95	374.78	370.73	351.55	374.95	407.84	400.07	347.29	412.4	453.46	393.73	411.87	334.2	361.24	398.42	405.35	373.83	338.6
430.32	436.04	457.21	450.52	479.81	413.14	367.85	471.87	341.46	437.62	392.35	429.71	423.57	430.03	440.32	413.61	410.48	389.84	416.46	449.93	439.49	387.07	455.3	498.43	435.16	453.7	370.26	405.41	440.94	449.28	412.37	380.73
464.78	469.14	491.94	485.03	516	448.46	396.47	508.48	370.98	472.08	424.58	465.3	456.29	462.72	474.43	445.27	443.48	420.81	450.32	483.95	470.76	419.05	490.15	535.76	468.1	487.29	399.77	441.97	474.86	483.55	443.66	415.71
495.76	497.85	522.28	516.04	546.06	478.64	421.57	539.57	396.8	501.58	452.81	495.33	483.59	490.33	503.98	472.47	470.39	448.04	478.18	513.66	498.54	446.35	520.13	566.43	496.47	517.53	425.06	471.54	504.17	514.79	470.59	444.64
522.12	522.99	547.94	540.49	571.98	503.61	443.45	565.15	418.53	527.61	476.86	521.3	507.63	514.59	528.94	496.06	493.96	470.49	502.79	538.17	522.64	470.22	545.33	592.62	521.24	541.69	446.54	496.9	529.79	539.53	493.87	469.54
543.99	544.08	569.64	562.54	594.13	526.31	462.69	587.39	438.2	549.43	497.74	543.31	528.91	534.64	550.84	517.63	515.85	490.95	524.46	559.97	543.04	490.69	567.35	615.31	542.25	562.94	465.99	520.24	551.15	561.57	514.76	490.95
563.2	562.51	588.68	581.25	613.06	545.6	479.08	607.14	453.93	567.86	516.18	562.3	546.73	552.16	569.48	534.78	533.98	508.5	543.53	578.31	560.86	508.51	586.29	634.54	560.41	581.9	482.38	538.24	569.91	580.69	532.09	509.49
