allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
117.48	121.55	127.66	117.73	144.2	83.37	97.99	129.8	74.82	111.9	88.33	100.43	119.54	130.35	117.71	114.86	107.14	101.08	103.26	130.7	141.45	91.78	130.54	156.14	121.82	135.58	100.65	79.6	119.08	121.61	120.79	65.94
126.58	132.62	138.85	129.27	155.47	93.69	107.35	141.53	82.55	122.18	97.84	110.4	129.02	139.89	128.37	124.37	116.65	109.4	111.95	140.1	150.46	100.39	139.99	166	132.08	145.21	109.4	88.06	129.49	131.9	130.79	73.75
135.07	142.82	149.33	140.49	166.71	103.93	117	152.53	90.83	132.35	107.3	120.16	138.98	148.89	138.47	134.08	126.84	119.18	121.97	149.32	160.09	109.41	149.83	176.73	141.37	154.76	118.27	97.77	139.21	141.77	139.71	82.92
142.8	150.91	158.35	148.85	175.01	112.86	124.76	161.47	97.7	139.72	114.16	128.54	146.19	156.73	145.98	141.99	134.43	126.97	131	157.69	167.89	117.34	158.11	185.35	149.76	162.82	125.62	105.27	146.85	149.7	147.2	89.92
149.69	159.23	167.12	158.03	183.38	121.49	133.15	170.25	104.72	148.09	121.87	136.76	153.96	164.55	154.17	149.74	142.48	135.07	138.4	166.04	175.87	125.69	166.44	193.91	157.78	170.97	132.64	113.76	155.14	158.47	154.47	98.13
158.92	169.81	178.26	168.07	194.73	132.55	141.53	181.69	113.64	158.36	132.69	147.19	164.17	174.45	164.34	159.44	152.08	144.43	148.69	176.91	186.01	135.05	177.23	204.9	168.21	181.8	141.84	124.25	165.53	168.71	164.66	107.77
167.79	179.52	187.87	178.16	204.07	142.47	150.49	192.16	122.09	167.71	141.14	156.72	172.82	183.61	173.94	168.39	161.7	152.91	158.09	186.01	195.13	144.32	186.76	214.47	177.66	191	150.29	133.87	175.1	178.15	173.41	117.06
177.95	189.59	198.54	189.12	214.68	153.14	159.65	203.09	131.14	177.51	151.41	166.8	182.63	193.59	184.48	178.07	170.81	162.4	167.92	196.09	204.14	153.47	196.58	224.26	187.45	200.34	159.3	143.64	185	188.06	182.73	127.21
184.96	197.5	206.98	197.06	222.94	161.34	166.54	211.21	137.79	185.79	158.73	174.93	190.83	200.94	192.36	185.55	178.66	169.53	175.97	203.92	211.46	161.36	204.36	233.02	195.31	208.2	166.31	151.68	192.77	195.85	189.95	135.24
194.65	207.33	216.82	207.53	233.25	171.73	176.18	221.97	146.38	195.58	168.84	184.94	199.75	210.09	201.96	194.95	188.3	178.78	185.36	213.48	221.09	170.5	214.39	243.49	204.54	217.91	175.26	161.3	202.84	205.87	199.59	144.74
274.17	287.57	300.97	291.58	317.59	256.83	245.82	308.44	217.42	278.88	247.16	268.79	278.51	289.41	285.08	272.97	266.79	254.15	266.66	295.27	298.75	247.28	297.63	329.97	285.19	299.75	245.78	244.95	284.63	289.25	274.82	224.9
340.38	352.97	369.49	359.84	386.29	325.15	301.89	379.01	275.5	346.34	311.97	338.25	342.12	352.05	352.31	335.18	329.53	315.1	331.98	362.67	360.75	310.68	365.58	402.52	349.94	366.07	304.21	314.95	351.61	358.48	335.26	293.28
396.88	406.55	425.77	416.93	443.89	381.11	347.32	437.11	320.92	403.36	364.85	396.07	394.85	403.9	408.25	386.89	381.47	364.91	386.43	418.07	411.78	361.38	422.41	461.91	404.06	421.58	350.52	372.73	407.35	415.71	386.15	348.1
443.23	450.79	471.77	462.29	490.12	427.94	385.04	484.34	359.31	449.69	407.61	442.69	437.59	446.25	453.61	428.41	424.24	405.87	430.02	463.3	454.39	403.52	468.48	510.89	447.68	466.35	389.29	419.81	452.32	462.14	426.75	392.99
480.53	485.64	508.69	499.49	528.47	464.87	415.36	523.65	390.78	485.95	441.75	480.01	471.32	479.95	489.49	462.22	458.44	438.98	465.43	499.53	487.16	437.01	505.22	549.93	482.66	502.6	419.87	457.3	488.2	499.23	459.51	428.87
513.59	517.39	541	532.42	560.27	496.44	442.49	555.71	417.97	518.44	471.5	512.82	501.88	509.77	521.6	491.47	487.69	467.69	495.78	531.11	516.93	466.32	537.37	583.25	513.55	533.74	447.22	489.61	520.12	531.51	488.32	460.25
539.81	542.6	567.4	557.91	586.59	524.06	464.33	582.92	440.53	544.36	496.05	539.4	527.27	534.37	547.18	516.8	512.53	491.6	521.65	556.69	541.21	490.23	562.69	610.26	538.71	559.44	469.49	516.71	545.39	557.59	512.73	485.72
564.54	565.07	590.81	581.83	610.47	547.83	484.89	606.96	461.42	567.97	519.53	562.94	549.32	556.57	569.94	537.99	535.15	513.91	544.45	580.7	563.73	513.67	586.15	634.34	561.48	582.57	490.3	540.72	568.78	581.35	534.56	509.43
584.72	584.85	610.46	601.47	630.81	567.44	502.48	627.11	479.14	587.88	538.08	583.58	568.38	575.54	589.92	557.16	553.93	532.3	563.9	599.18	583.18	532.38	606.24	655.14	580.64	602.28	508.7	560.91	588.73	600.88	552.65	529.77
619.58	618.34	645.93	636.44	666.34	602.33	534.1	662.17	510.56	622.41	571.07	617.96	601.07	608	623.42	589.47	586.84	565	597.11	633.06	615.33	565.41	639.94	690.74	614.05	635.71	540.29	595.61	622.17	635.46	585.38	563.25
649.29	646.99	674.22	665.29	695.96	631.05	560.86	691.34	537.48	651.14	598.82	647.23	629.03	635.91	652.46	617.06	614.33	591.65	625	661.67	643.64	592.25	669.05	719.93	642.52	663.9	566.65	624.58	650.79	664.32	612.4	591.6
673.87	669.98	698.96	689.28	719.45	655.37	582.6	715.51	559.48	674.72	621.76	670.94	652.79	658.99	675.72	640.54	637.53	614.45	649.01	685.39	666.28	615.25	692.63	744.3	665.67	687.77	589.25	648.55	673.81	687.93	635.29	614.46
694.23	690.8	719.9	709.76	739.9	676.03	601.34	736.85	579.25	695.4	641.71	691.72	672.72	678.56	696.23	660.81	657.58	634.25	668.31	706.56	686.81	635.3	714.28	765.4	685.65	707.99	608.19	669	694.77	708.78	655.1	635.02
713.73	709.46	738.65	728.69	759.78	695.07	619.32	755.81	596.99	714.46	660.82	710.49	691.09	697.47	715.13	678.76	675.99	652.54	687.76	724.98	704.3	654.03	733.05	785.93	704.6	726.74	626.09	687.44	713.67	726.85	674	653.76
837.16	829.64	860.5	850.03	881.49	817.05	734.49	878.22	713.12	835.13	779.83	831.74	809.76	816.22	834.7	796.74	793.61	770.12	807.12	845.13	824.2	772.66	853.19	906.31	824.33	845.92	741.55	808.97	833.42	847.05	791.7	772.52
911.7	902.7	934.96	922.99	956.18	890.42	808.35	952.35	786.21	908.35	851.8	904.97	882.17	888.61	907.55	869.43	865.62	842.02	879.24	917.56	896.41	844.78	926.85	979.58	896.82	918.57	813.65	881.25	905.95	920.23	863.8	844.25
967.95	958.05	990.58	979.35	1012.38	946.79	863.41	1008.59	841.49	963.84	907.31	960.56	937.46	944.03	962.69	924.01	920.17	896.7	934.67	973.29	951.52	900.51	982.11	1034.87	952.19	972.97	868.98	936.55	961.15	974.44	920.16	898.82
1014.23	1004.1	1037.2	1025.34	1058.65	993.12	909.7	1055.01	886.5	1010.03	952.88	1006.24	983.45	990.17	1008.26	970.22	966.02	942.7	980.38	1018.75	997.57	947	1028.14	1080.92	997.95	1018.24	914.75	981.97	1007.48	1020.38	966.37	943.88
1054.31	1043.01	1076.67	1064.81	1098.1	1032.44	948.94	1094.91	926.84	1049.57	991.93	1046.05	1023.69	1029.71	1048.15	1009.58	1005.99	982.59	1020.72	1058.3	1037.22	986.46	1068.19	1120.84	1037.97	1058.15	954.32	1021.89	1046.71	1060.57	1006.3	982.6
1090.72	1079.27	1112.54	1100.87	1134.39	1068	985.2	1130.86	962.8	1085.34	1027.96	1081.58	1058.94	1066.23	1083.4	1045.42	1041.16	1018.28	1055.89	1094.7	1073.84	1022.47	1103.89	1156.71	1073.77	1093.75	989.82	1057.68	1082.4	1095.84	1041.84	1017.98
1124.25	1111.76	1146.47	1133.89	1168.57	1101.94	1018.19	1164.9	995.8	1119.13	1061.31	1114.86	1092.12	1099.43	1116.79	1078.64	1074.05	1051.79	1089.25	1127.63	1107.11	1055.42	1136.86	1190.11	1107.2	1126.59	1023.26	1090.32	1115.43	1128.43	1075.16	1050.86
1155.57	1143.51	1177.62	1165.1	1198.9	1132.79	1049.16	1196.45	1026.51	1150.08	1092.11	1145.87	1122.85	1130.49	1148.02	1109.36	1104.39	1082.12	1120.34	1158.85	1137.8	1086.3	1168.23	1220.9	1138.05	1157.79	1054.04	1120.86	1146.19	1159.25	1105.54	1081.05
1184.19	1171.85	1206.86	1193.37	1227.69	1161.75	1077.36	1224.27	1055.43	1178.04	1120.18	1174.48	1151.9	1159.48	1175.91	1137.45	1132.96	1110.36	1148.43	1186.94	1166.83	1115.13	1197.01	1249.79	1167	1186.26	1082.13	1148.6	1174.59	1187.18	1133.97	1109.08
1212.16	1199.67	1234.68	1221.58	1255.82	1189.97	1105.63	1252.47	1083.47	1206.32	1148.07	1202.46	1179.89	1187.96	1203.99	1166.36	1160.94	1138.53	1176.37	1214.85	1194.26	1142.52	1224.91	1277.88	1194.35	1213.69	1110.34	1176.47	1202.31	1215.17	1162.41	1136.78
1240.69	1227.42	1262.5	1249.37	1285.91	1217.57	1133.25	1281.61	1110.77	1233.49	1175.89	1229.79	1206.76	1215.42	1232.15	1193.15	1188.32	1166	1203.69	1242.48	1221.71	1170.9	1252	1306.24	1222.32	1240.11	1137.21	1203.95	1229.6	1242.18	1189.61	1164.01
1265.14	1251.86	1289.48	1273.73	1309.95	1242.45	1158.32	1306.69	1135.9	1259.01	1201.06	1254.76	1232.64	1240.38	1256.82	1218.21	1212.58	1191.13	1228.8	1267.19	1247.09	1196.22	1277.67	1331	1247.18	1265.37	1162.55	1228.24	1255.04	1267.43	1214.66	1188.3
1291.79	1277.5	1314.27	1300.33	1335.27	1267.19	1183.6	1331.56	1161.45	1284.9	1225.51	1280.13	1257.1	1265.36	1282.76	1243.48	1237.59	1215.61	1253.69	1293.49	1272.49	1220.73	1303.24	1355.79	1272.06	1291.25	1187.18	1252.87	1280.2	1293.39	1239.35	1212.49
1316.06	1302.97	1338.83	1324.26	1359.6	1293.1	1207.69	1355.85	1185.7	1309.49	1249.93	1305.15	1282.69	1291.14	1307.62	1267.61	1261.35	1240.3	1278.52	1318.26	1298.57	1245.2	1327.91	1380.16	1298.6	1315.62	1212.03	1277.06	1305.42	1317.66	1263.88	1236.81
1339.8	1325.86	1362.42	1347.81	1383.81	1316.8	1232.08	1380	1208.69	1332.9	1273.26	1328.61	1306.42	1314.79	1330.61	1292.73	1286.58	1263.42	1303.27	1340.92	1321.46	1268.69	1351.37	1403.25	1321.37	1338.48	1235.19	1301.74	1328.41	1340.64	1289.18	1259.87
1363.18	1348.98	1385.05	1370.99	1406.33	1339.67	1254.33	1402.39	1232.36	1356.72	1297.39	1351.84	1329.37	1337.66	1353.58	1315.93	1309.68	1287.92	1326.17	1364.37	1344.5	1292.97	1374.44	1426.74	1344.98	1361.86	1257.64	1324.19	1351.4	1364.19	1312.03	1283.73
1386.07	1371.87	1408.82	1394.14	1429.73	1363.24	1278.42	1426.09	1255.16	1379.6	1321.08	1374.74	1352.23	1361.42	1376.95	1338.82	1332.26	1311.12	1349.26	1387.22	1368.39	1315.53	1397.1	1449.74	1367.77	1384.03	1282.3	1347.26	1374.57	1386.87	1334.98	1306.84
1409.1	1394.35	1431.37	1416.46	1452.44	1385.52	1301.18	1448.38	1277.68	1400.88	1342.61	1396.55	1373.93	1383.09	1398.7	1360.98	1354.02	1333.02	1370.85	1409.23	1389.58	1337.94	1419.94	1471.33	1389.42	1406.04	1304.75	1368.84	1396.35	1408.3	1356.82	1328.67
1430.12	1415.56	1452.41	1437.89	1473.11	1406.68	1322.56	1470.25	1300.77	1423.41	1364.65	1418.11	1395.68	1404.35	1420.22	1382.79	1374.96	1354.54	1392.61	1431.61	1411.38	1359.67	1441.3	1493.1	1411.23	1427.57	1325.88	1390.78	1418.48	1430.66	1378.96	1349.55
1452.05	1436.95	1473.65	1458.93	1494.91	1428.43	1344.13	1491.82	1321.98	1444.61	1385.59	1439.76	1417.82	1426.86	1442	1403.58	1396.56	1375.38	1414.06	1452.59	1433.49	1380.96	1462.74	1514.66	1432.55	1449.07	1347.16	1411.9	1439.76	1451.14	1400.64	1370.42
1474.14	1458.19	1495.96	1480.65	1516.68	1450.16	1366.44	1513.4	1343.64	1466.58	1407.47	1461.13	1438.91	1448.33	1463.27	1425.2	1417.86	1397.36	1435.37	1473.75	1454.88	1402.84	1484.34	1536.12	1454.18	1469.9	1368.83	1434.06	1461.06	1472.04	1422.4	1392.07
1495	1479.07	1516.95	1501.3	1537.97	1470.86	1386.89	1533.68	1364.14	1486.96	1428.53	1482.19	1459.89	1469.28	1483.9	1446.44	1438.98	1418.8	1456.41	1494.99	1475.89	1424.49	1505.17	1557.47	1475.27	1491.37	1390.06	1454.59	1481.94	1493.41	1443.23	1413.13
1515.87	1500.1	1538	1521.99	1559	1491.99	1407.86	1555.5	1384.72	1507.72	1448.67	1502.6	1480.7	1490.01	1505.08	1466.26	1459.16	1438.59	1476.73	1515.1	1496.42	1444.41	1525.76	1577.88	1495.79	1511.41	1410.79	1474.21	1502.22	1513.91	1463.64	1433.03
1537.37	1520.54	1559.35	1543.47	1579.87	1512.73	1429.5	1576.66	1405.72	1528	1469.83	1523.32	1501.51	1510.94	1525.93	1487.6	1479.97	1459.83	1497.98	1536.7	1518.36	1465.45	1547.45	1598.81	1516.5	1531.55	1431.55	1495.7	1523.46	1534.73	1484.27	1453.57
1556.95	1540.71	1579.06	1562.86	1599.73	1532	1448.96	1595.42	1426.08	1549.11	1489.85	1543.85	1521.16	1530.96	1545.97	1507.45	1499.56	1479.12	1517.84	1556.82	1538.25	1485.59	1567.13	1618.67	1537.1	1552.23	1451.98	1515.01	1543.65	1554.91	1503.86	1473.57
1577.2	1560.71	1599.26	1583.69	1620.42	1553.44	1469.06	1616.59	1446.58	1569.53	1510	1564.41	1542.4	1552.04	1566.82	1527.61	1519.92	1499.42	1538.47	1576.9	1558.8	1505.77	1587.36	1639.4	1557.66	1572.92	1471.8	1535.08	1564.21	1575.29	1524.75	1493.94
1597.85	1581.02	1620.29	1603.8	1640.62	1573.56	1489.94	1636.94	1466.77	1589.51	1529.7	1584.26	1562.54	1572.29	1587.03	1548.8	1539.88	1519.61	1558.88	1597.63	1578.48	1525.59	1607.9	1658.66	1577.4	1592.75	1492.09	1555.84	1583.78	1594.54	1545.5	1513.03
1617.25	1600.55	1639.53	1623.02	1659.16	1593.39	1509.31	1656.53	1486.65	1608.81	1550.15	1603.77	1582.15	1591.64	1606.02	1568.13	1560.08	1539.54	1578.97	1616.64	1598.55	1546	1627.53	1678.92	1596.95	1611.79	1511.86	1575.49	1603.06	1613.86	1565.67	1532.43
1636.96	1620.31	1658.6	1642.83	1679.83	1612.62	1529.42	1676.58	1506.4	1629.05	1570.3	1623.29	1601.85	1611.24	1626.09	1587.44	1579.29	1559.32	1598.15	1636.72	1618	1566.18	1647.54	1698.43	1616.75	1631.06	1531.4	1593.91	1622.44	1633.47	1584.65	1552.44
1655.78	1639.64	1679.04	1661.64	1699.18	1632	1549.42	1695.91	1525.85	1647.96	1589.11	1643.06	1621.18	1630.58	1644.9	1607.24	1598.38	1578.85	1617.85	1655.99	1637.74	1585.25	1666.51	1717.58	1636.46	1650.54	1551.66	1613.41	1641.98	1653	1604.39	1571.86
1676.31	1658.4	1698.67	1682.1	1718.13	1651.89	1568.78	1714.78	1546.32	1667.65	1609.39	1662.24	1640.89	1650.2	1664.91	1626.63	1618.13	1597.88	1636.62	1675.65	1656.88	1605.23	1686.82	1736.61	1655.92	1669.94	1570.68	1632.33	1660.96	1673.09	1624.15	1591.11
