allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
1666.75	1658.6	1694.46	1675.67	1705.53	1650.61	1574.98	1705.81	1555.9	1657.8	1614.84	1665.28	1641.2	1654.59	1659.91	1630.39	1613.61	1607.15	1634.72	1670.82	1653.98	1604.3	1672.93	1727.22	1651	1665.26	1588.5	1640.41	1652.63	1672.31	1622.85	1597.85
1691.99	1684.1	1719.32	1700.88	1730.38	1675.59	1599.39	1730.56	1580.88	1683.4	1640.55	1690.45	1666.37	1680.3	1686.24	1655.18	1638.62	1631.9	1659.43	1696.27	1679.3	1629.28	1698.03	1752.3	1676.5	1690.19	1613.98	1665.09	1678.14	1697.58	1647.76	1623.13
1716.53	1708.42	1743.95	1724.73	1754.95	1700.58	1624.97	1755.21	1605.55	1707.89	1664.9	1715.2	1691.28	1704.85	1710.49	1680.57	1663.5	1656.17	1684.74	1720.1	1703.8	1653.81	1721.82	1776.61	1701.64	1714.67	1638.71	1690.02	1703.11	1721.32	1672.27	1647.57
1739.44	1732.25	1767.65	1749.15	1778.46	1723.7	1648.64	1778.87	1629.92	1731.64	1689.67	1739.13	1715.21	1728.68	1734.69	1704.9	1687.66	1681.03	1708.47	1743.9	1727.15	1678.44	1746.23	1802.11	1724.89	1738.12	1662.73	1713.4	1726.41	1745.46	1696.82	1671.55
1762.51	1756.11	1791.52	1772.49	1803.55	1748.06	1672.53	1804.31	1653.88	1755.2	1713.22	1762.31	1739.35	1752.49	1757.8	1727.69	1710.95	1704.65	1731.94	1767.36	1751.56	1702.37	1769.56	1825.93	1748.74	1762.02	1686.65	1736.44	1751.82	1768.76	1720.16	1695.44
1784.02	1779.15	1815.99	1797.2	1827.25	1771.29	1696.51	1827.65	1678.11	1779.03	1736.68	1785.76	1762.66	1775.36	1781.37	1752.03	1734.1	1727.62	1755.68	1790.91	1774.73	1725.17	1793.85	1848.62	1772.34	1784.55	1710.35	1759.55	1774.98	1792.7	1744.17	1718.43
1806.99	1803.44	1838.69	1820.1	1849.84	1795.48	1719.49	1850.51	1701.9	1803.19	1759.49	1810.28	1785.64	1800.06	1805.99	1774.62	1757.22	1750.8	1778.5	1815.18	1799.35	1748.83	1817.14	1871.81	1797.1	1809.69	1733.31	1782.33	1798.86	1816.46	1767.51	1741.71
1827.68	1825.5	1861.09	1842.5	1873.24	1818.34	1741.81	1873.83	1724.52	1826.31	1782.43	1832.9	1809.75	1823.55	1828.88	1799.37	1779.6	1773.53	1803.08	1837.53	1822.41	1771.29	1839.95	1894.53	1819.47	1832.13	1756.42	1806.6	1821.9	1838.82	1790.04	1764.55
1847.38	1847.94	1884	1864.29	1895.18	1840.67	1764.16	1895.88	1747.61	1848.01	1806.28	1855.12	1832.66	1845.59	1850.46	1821.54	1803.17	1796.79	1825.46	1859.48	1844.48	1794.65	1862.47	1915.69	1841.97	1853.45	1778.82	1829.04	1843.86	1860.53	1814.07	1785.97
1866.69	1869.48	1905.31	1886.95	1915.93	1862.66	1785.27	1916.98	1769.57	1870.06	1828.9	1877.95	1854	1868.13	1873.41	1843.85	1825.56	1819.63	1847.11	1881.95	1866.42	1817.28	1885	1937.76	1863.85	1876.04	1802.36	1850.34	1866.12	1883.06	1835.55	1810.26
1884.79	1890.85	1927	1908.28	1938.09	1885.05	1809.55	1938.4	1792.58	1892.65	1850.87	1900	1877.07	1890.6	1895.41	1865.91	1847.28	1841.51	1869.43	1903.49	1888.7	1839.58	1906.44	1957.88	1886.7	1898.09	1824.85	1872.65	1888.2	1905.02	1857.78	1832.11
1901.91	1910.87	1947.43	1930.1	1957.83	1906.21	1830.5	1958.3	1815.85	1913.69	1872.94	1920.8	1898.81	1911.54	1915.84	1888.08	1868.97	1863.33	1891.26	1925.04	1910.25	1861.48	1927.77	1975.45	1907.53	1918.73	1846.73	1894.06	1909.64	1926.06	1879.54	1853.51
1917.34	1931.4	1966.01	1949.97	1975.71	1927.61	1851.01	1975.33	1837.18	1935.28	1894.87	1942.01	1919.76	1933.11	1938.4	1909.32	1890.73	1884.95	1912.47	1945.87	1931.89	1883.24	1948.66	1991.31	1929.46	1940.05	1868.63	1915.11	1931.19	1946.28	1901.6	1875.69
1933.33	1949.82	1982.05	1967.92	1990.64	1947.72	1870.35	1990.32	1858.89	1955.18	1915.2	1961.1	1940.41	1952.76	1957.45	1929.84	1911.27	1905.8	1933.39	1963.97	1951.63	1904.04	1967.23	2003.96	1949.58	1959.09	1889.85	1935.75	1951.53	1965.14	1921.97	1896.74
1947.97	1967.18	1996.58	1983.32	2003.05	1965.41	1887.84	2002.66	1880.43	1972.33	1936.84	1977.56	1959.13	1970.45	1974.73	1949.58	1932.08	1926.75	1952.96	1980.14	1969.72	1924.61	1984.24	2012.9	1968.26	1976	1910.66	1955.4	1969.5	1980.86	1942.53	1916.63
