allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
116.84	120.72	126.21	116.51	142.89	81.6	96.84	128.25	74.68	110.78	88.05	99.6	118.6	129.83	117.35	114.5	106.84	100.04	101.7	129.32	140.75	90.77	129.35	154.2	120.89	134.43	100.43	77.77	117.94	120.05	120.57	64.67
122.79	128.4	133.79	124.55	150.13	89.34	103.85	136.28	80.22	118.06	94.74	106.17	125.81	136.67	124.84	121.34	113.77	106.54	108.3	136.25	147.44	97.22	136.4	161.85	128.57	141.31	106.83	84.79	125.52	127.88	127.51	70.7
129.16	134.98	142.15	132.64	157.9	96.65	111.15	143.94	86.66	125.45	101.21	113.99	133.38	143.9	132.02	128.8	121.18	113.98	116.86	143.94	155.35	104.86	143.81	169.71	135.63	149.12	113.66	91.18	133.17	135.32	134.5	77.41
137.91	145.3	152.4	142.87	168.14	106.91	120.72	154.61	95.06	135.23	111.09	124.09	142.44	153.35	142.21	138.23	131.2	123.19	126.44	153.94	164.28	113.63	153.32	180.14	145.45	158.26	122.43	100.51	142.61	144.79	143.56	85.6
146.13	154.39	161.94	152.26	178.09	115.91	129.78	164.78	102.56	143.98	119.85	133.04	151.25	162.32	151.27	146.88	139.57	132.29	135.64	162.74	172.87	122.67	162.67	189.39	154.67	167.4	130.94	109.4	151.27	153.44	152.42	93.96
154.02	163.48	171.84	161.61	187.58	126.33	138.34	174.43	110.92	153.16	129.32	142.23	160.57	171.05	161	155.39	148.61	140.7	144.86	172.23	182.19	131.8	172.57	199.42	163.95	176.7	139.08	118.48	161.11	163.6	161.53	103.11
161.12	171.7	180.59	170.59	196.24	134.41	145.92	183.22	117.98	160.58	136.8	150.07	167.82	178.97	168.66	163.14	156.42	148.05	152.59	179.96	190.33	138.7	180.4	207.42	171.08	185.01	146.46	126.78	168.96	171.45	168.66	111.08
170.41	182.18	191.01	180.7	206.13	144.89	154.63	194.06	127.26	170.59	146.27	159.87	177.72	188.88	179.04	172.59	165.27	156.74	162.13	190.04	199.59	147.91	190.08	216.95	180.74	194.23	155.05	136.1	178.65	180.95	177.88	120.25
177.81	189.72	199.03	188.96	213.53	152.89	162.02	202.23	134.28	178.54	153.8	167.54	184.94	196.73	186.81	180.29	172.98	164.34	170.08	197.49	206.99	155.75	198.36	225.35	188.79	201.8	161.98	144.1	186.62	188.76	185.48	128.21
186.61	198.39	208.17	198.15	222.79	161.89	169.94	210.94	141.77	187.11	162.43	176.82	194.21	204.65	195.64	188.94	181.82	172.25	179.02	206.64	215.43	164.01	206.64	234.36	197.83	210.37	169.69	152.53	195.27	197.81	193.83	136.39
