allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
137.43	147.57	152.28	141.54	167.19	110.79	120.19	152.34	94.45	125.6	106.67	119.11	135.11	146.5	134.81	130.17	123.25	121.71	122.06	146.37	154.89	112.12	146.46	171.44	138.38	150.72	119.09	101.51	134.65	140.1	137.4	83.01
147.55	161.45	166.76	155.86	183.48	125.88	133.18	167.52	103.87	136.56	117.35	130.26	145.91	157.39	146.14	141.42	134.1	132.33	133.18	157.39	165.84	122.5	157.25	184.07	149.73	161.31	129.35	112.65	145.15	151.47	147.85	93.14
157.74	175.38	181.72	170.99	198.35	140.51	147.09	183.46	114.45	148.32	128.96	142.56	157.46	169.26	157.89	153.36	145.75	143.78	144.78	169.27	177.61	134.39	169.29	196.62	161.77	173.34	140.54	124.11	156.99	163.47	159.16	103.94
165.2	185.74	192.32	182.35	208.27	151.07	156.48	194.02	123.29	157.78	137.94	151.86	166.69	178.34	166.92	162.09	154.77	152.94	154.2	178.74	186.82	143.49	179.31	206.38	171.64	183.49	148.99	134.19	166.67	173.29	168.41	113.4
179.06	202.63	210.19	199.56	226.38	169.08	172.7	212.9	136.21	171.51	151.77	165.57	180.49	192.78	181.84	176.51	169.11	165.88	168.26	193.21	200.87	155.92	193.79	220.75	185.77	197.42	162.4	147.64	180.25	187.8	181.97	127.48
190.01	215.64	223.67	212.58	239.64	183.12	185.26	226.81	145.96	183.57	162.99	177.69	191.69	203.23	193.15	188.28	180.18	176.85	179.34	204.18	211.43	167.28	204.6	232.61	197.33	208.55	172.72	159.1	192.05	199.11	193.4	138.8
203.47	229.82	238.27	227.45	255.92	197.77	198.25	241.7	157.29	196.09	175.49	190.1	203.16	215.49	205.2	200.37	192.38	188.73	191.99	215.97	223.27	178.98	216.51	245.83	209.15	220.34	184.45	171.82	203.7	211.23	204.93	150.89
211.14	239.38	249.26	237.81	266.02	208.55	207.75	253.38	166.18	205.2	184.26	200.31	212.93	224.53	214.54	209.56	202.15	198.58	201.48	226.21	232.43	189.13	227.19	257.27	219.31	230.3	193.67	181.7	213.57	220.95	213.71	161
221.43	251.93	261.54	249.47	278.09	219.93	218.15	265.2	175.72	215.65	195.12	210.76	223.01	235.16	225.32	219.69	212.3	208.25	211.78	237.06	243.19	199.62	238.64	268.81	229.99	241.48	203.79	193.21	224.57	231.67	224.09	171.9
233.87	266.09	275.72	264.07	291.93	233.11	230.15	280.05	187.68	227.74	206.38	222.59	234.65	247.48	237.27	231.77	223.61	219.33	223.52	248.94	255.48	210.22	250.81	280.75	241.36	253.69	214.48	204.66	236.25	243.76	235.16	183.72
333.61	364.45	379.11	367.43	395.21	338.92	322.17	386.09	277.96	329.23	304.51	325.21	332.37	344.6	338.28	329.03	321.37	315.16	322.93	348.88	350.85	307.26	351.49	385.85	341.08	353.11	307.81	307.63	336.59	345.62	330.63	284.78
415.42	443.66	461.22	449.09	476.06	420.51	391.32	469.09	349.44	412.93	384.48	409.97	411.85	423.98	421.09	406.95	399.59	392.41	403.71	432.06	429.88	385.45	435.83	473.31	422.4	435.91	382.6	394	418.9	430.47	408.17	367.18
482.19	506.78	528.23	514.73	542.23	486.28	446.88	536.99	408.58	481.49	448.97	479.94	476.26	488.66	488.7	470.7	463.16	455.55	469.81	499.94	493.98	448.79	504.6	546.47	488.29	503.42	443.03	463.65	486.31	500.17	470.32	435.41
540.63	561.21	585.14	571.46	598.39	543.49	494.57	595.14	458.4	540.37	504.24	539.4	531.79	543.32	546.25	525.24	517.94	508.47	526.32	557.81	548.69	502.49	562.86	607.27	544.55	560.99	494.41	524.26	544.12	558.56	524.39	492.63
586.2	604.14	629.6	615.49	642.84	587.85	532.82	640.75	498.5	587.29	548.84	586.81	576.23	587.62	592.13	568.6	561.32	551.92	571.47	603.48	591.93	546.29	609.09	656.73	589.18	606.68	536.94	571.95	589.54	605.92	567.54	539.1
623.8	640.36	666.95	653.49	680.11	625.26	565.43	678.64	533.11	626.12	586.01	626.21	612.57	623.83	630.79	604.44	597.17	587.96	608.62	642.6	628.55	582.91	648.16	697.5	626.9	645.24	572.21	611.78	628.01	645.75	603.45	577.87
657.08	671.05	699.76	684.56	711.75	657.59	593.03	711.25	562.89	659.53	617.27	660.03	644.91	655.53	663.63	636.34	629.18	619.41	641.4	675.48	660.22	614.04	681.37	731.66	658.84	678.3	601.75	646.32	660.88	679.25	634.92	610.45
