allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
141.16	147.39	150.82	140.07	167.03	110.42	122.95	149.48	97.52	124.08	108.35	119.66	136.06	147.4	134.6	131.96	122.86	122.47	122.97	146.35	155.05	113.83	144.98	168.13	138.27	149.44	121.55	102.34	134.75	139.98	138.33	83.78
150.9	160.17	164.13	153.3	180.75	122.96	135.96	162.82	105.85	133.45	116.8	129.91	145.02	156.97	143.43	141.39	132.16	131.98	132.41	155.45	164.54	122.12	153.72	178.11	148.11	158.56	130.72	111.09	144	149.09	147.95	91.91
162.66	175.18	180.03	168.53	197.25	138.45	150.41	179.18	116.66	143.89	128.87	140.56	155.95	168.37	154.88	153.02	143.75	142.63	143.47	167.06	175.89	133.32	164.44	189.38	159.04	170.04	141.24	122.07	154.62	160.29	158.46	102.24
174.09	188.84	194.4	183.9	211.44	152.64	164.65	194.38	127.47	154.09	139.48	151.17	166.8	179.47	165.94	164.07	154.24	153.18	154.2	178.11	186.88	143.9	174.96	200.4	170.14	181.04	151.19	132.82	165.96	171.28	169.63	112.71
186.4	202.62	209.13	198.76	226.78	167.56	178.68	209.09	138.15	165.44	150.45	162.45	178.37	191.28	177.57	175.69	165.75	163.82	165.31	189.36	198.09	154.61	186.58	211.43	182.34	192.25	162.45	143.56	177.08	183.04	180.52	124.1
197.75	215.28	221.56	211.42	239.52	180.89	191.58	222.77	147.65	175.93	160.59	173.07	188.65	201.38	188.29	187.11	176.39	174.29	175.72	199.95	208.29	164.97	196.95	222.04	193.34	202.6	172.14	153.25	187.71	193.49	191.16	134.25
208.73	227.55	235.62	223.8	254.09	194.8	203.37	236.53	157.7	186.92	171.1	184.11	199.56	212.19	198.92	197.38	187.49	185.19	186.58	210.54	218.38	175.72	207.21	233.14	204.25	212.8	183.08	164.18	198.65	204.32	201.11	144.86
219.95	240.05	248.42	236.8	267.52	207.04	215.39	250.11	168.07	197.34	182.09	195.33	210.05	222.74	209.41	208.2	198.24	195.46	197.57	221.02	229.36	186.36	217.58	243.96	214.2	223.9	193.49	175.02	208.93	214.64	211.14	155.25
231.33	253.74	263.23	250.4	279.99	220.31	227.38	264.58	178.69	208.27	193.4	205.97	220.34	233.85	220.06	219.27	208.85	205.79	208.27	231.93	240	196.93	228.35	256.48	225.35	234.48	203.12	186.15	219.63	225.42	221.67	166.27
242.44	265.35	274.27	263.79	292.07	232.11	238.12	276.38	188.8	217.97	203.39	216.24	230.63	243.93	230.58	229.41	218.57	215.8	218.4	242.19	250.29	206.73	238.6	267.25	235.66	244.65	212.7	196.33	230.02	236.06	231.45	176.75
341.13	366.08	379.28	368.2	397.37	339.08	333.58	384.71	279.17	317.22	299.79	316.77	327.61	341.35	329.82	326.75	315.02	310.01	315.93	340.76	345.72	301.88	337.43	367.63	333.72	342.29	305.08	295.92	328.15	335.3	326.14	274.73
423.28	445.51	463.18	451.43	479.63	422.69	404.15	469.16	352.99	401.34	381.42	402.49	408.1	422.25	413.57	406.09	394.45	388.87	398.16	424.76	425.24	380.73	421.73	456.56	415.61	425.66	381.48	381.55	410.9	420.41	403.6	357.64
490.41	510.27	530.73	518.68	546.48	489.25	460.34	538.43	412.48	471.93	448.21	474.09	474.65	488.62	483.35	471.37	459.22	453.66	465.53	494.11	490.72	445.98	491.84	531.39	483.16	494.94	444.21	453.77	479.81	491.42	467.65	426.93
546.17	563.6	585.76	573.15	600.38	544	506.53	593.77	463.18	531.31	503.15	534.19	530.62	544.36	541.49	526.5	513.83	506.7	522.36	552.44	545.69	499.92	550.67	592.99	539.43	552.35	495.62	514.7	537.29	551.63	521.6	484.1
592.11	606.09	630.44	616.79	645.04	589.09	545.16	639.83	504.49	579.68	549.4	583.67	576.74	589.78	588.53	571.2	558.13	551.53	568.61	600.07	590.58	545.11	598.46	644.22	585.27	599.46	539.15	563.73	584.51	599.84	565.47	532.35
630.8	643.68	668.28	655.27	682.88	627	578	677.95	540.33	619.8	587.93	624.22	614.69	627.59	628.26	608.7	596.14	588.5	607.14	640.27	629.07	582.98	639.32	686.04	624.21	639.8	575.72	605.03	624.05	641	603.05	572.52
664.63	675.15	701.89	687.79	715.55	659.92	605.95	711.14	571.49	655.12	620.89	660.15	648.25	661.26	662.37	642.21	629.18	621.36	641.29	674.69	662.18	615.27	673.84	722.16	658.31	674.11	607.13	641.28	658.67	675.93	636.34	606.55
693.22	702.19	729.85	715.64	743.27	688.09	631.49	739.75	597.83	685.37	650.23	690.26	676.6	689.63	692.06	669.26	657.32	649.46	670.02	703.72	690.33	643.91	703.51	753	686.34	703.84	634.06	671.32	687.55	705.92	663.67	635.88
718.76	727.13	755.04	740.48	769.61	712.97	654.36	765.46	622.29	711.8	675.58	716.3	701.96	714.85	717.79	694.56	682.27	674.52	695.46	729.76	714.68	668.11	729.64	781.77	712.23	728.84	658.89	697.78	713.43	731.9	688.16	661.87
762.31	769.74	799.29	784.24	812.51	755.33	692.58	809.44	662.82	756.08	718.13	761.19	744.57	757.11	761.85	736.76	724.39	715.82	738.33	775.56	757.15	711.01	775.2	826.8	754.72	774.02	700.26	742.42	756.39	777.94	729.51	705.89
799.63	804.18	834.08	818.92	847.31	791.78	724.7	844.75	696.69	793.41	753.08	799.25	781.28	793.53	798.86	773.06	758.56	750.56	775.17	810.8	793.76	745.5	811.18	864.19	791.65	809.7	734.04	780.39	794.08	813.98	764.6	741.22
830.25	833.51	863.83	848.84	877.12	821.56	752.47	874.99	725.7	824.45	784.72	830.18	811.41	823.93	829.27	802.88	789.77	781.74	805.43	841.68	823.67	776.83	842.03	895.95	821.81	840.17	763.87	811.3	824.31	844.68	796.11	773.48
856.44	858.79	889.99	874.68	903.36	847.55	778.45	901.54	750.13	851.33	810.62	856.92	837.28	849.81	855.64	828.77	815.53	807.75	831.9	867.83	849.56	802.94	867.71	922.77	847.88	865.61	790.68	838.34	850.53	871.69	821.16	799.39
880.24	882.18	913.63	897.83	926.34	870.56	799.58	924.61	775.38	874.82	834.01	880.53	860.01	872.37	878.99	851.52	838.29	830.48	854.58	890.98	872.35	825.54	891.59	946.65	871.25	889.6	813.56	861.47	873.69	894.9	844.22	822.84
1032.1	1029.98	1062.87	1046.04	1075.14	1019.62	943.28	1074.56	920.72	1025.86	982.72	1032.3	1009.22	1021.29	1028.69	999.07	985.37	977.6	1003.77	1040.93	1020.77	973.75	1042.25	1098.38	1020.32	1038.6	959.85	1012.38	1023.06	1044.81	991.41	971.47
1122.97	1118.66	1152.62	1135.46	1164.95	1109.37	1030.63	1164.64	1009.86	1115.84	1071.8	1122.18	1098.33	1111.07	1118.4	1088.58	1074.21	1065.74	1093.61	1130.33	1110.79	1063.08	1132	1188.74	1109.59	1127.91	1048.45	1102.3	1112.64	1134.29	1080.92	1060.96
1191.41	1186.15	1219.94	1202.67	1231.71	1176.25	1097.58	1231.97	1075.95	1183.39	1138.83	1189.4	1165.54	1177.77	1185.52	1155.29	1140.52	1132.89	1160.22	1197.19	1177.59	1129.19	1199.3	1255.76	1176.8	1194.43	1115.23	1169.46	1179.59	1201.54	1146.89	1127.26
1246.59	1240.51	1275.32	1257.69	1288.23	1231.39	1152.08	1288.12	1131.01	1238.26	1194.15	1244.02	1220	1232.21	1240.03	1209.99	1195.82	1186.86	1215.02	1252.27	1232.58	1184.49	1254.22	1312.2	1231.91	1249.16	1169.44	1223.38	1234.5	1255.7	1202.38	1182.51
