allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
111.75	113.01	119.58	112.74	139.95	74.79	92.41	123.85	67.08	108.59	81.76	92.36	113.63	123.28	111.63	109.56	102.75	92.26	94.92	123.36	137.09	82.64	123.26	150.21	116.84	129.75	93.05	68.85	113.96	114.74	115.45	59.67
116.86	119.84	126.86	119.34	146.71	80.95	97.68	131.45	71.37	115.32	87.08	99.32	119.91	129.54	118.16	115.74	108.55	97.61	101.5	129.74	143.1	87.86	130.35	157.05	123.34	135.87	98.11	74.35	120.57	121.15	121.18	64.9
125.56	129.06	137.25	129.44	156.6	90.22	106.24	141.76	78.13	124.42	95.49	107.79	128.87	137.85	127.28	124.03	117.19	105.92	109.94	138.78	151.32	96.17	139.36	166.69	132.34	144.71	105.24	82.86	129.54	130.36	129.5	72.41
133	137.35	145.57	138.11	165.81	98.68	112.88	150.94	85.01	133.47	103.5	116.99	136.59	145.95	135.88	132.16	125.86	113.74	118.62	147.42	160	103.88	148.03	175.91	140.97	153.18	112.66	91.47	138.53	138.75	137.74	80.4
142.15	147.3	156.29	149.22	176.53	108.99	122.21	161.45	92.49	142.71	113	126.77	146.08	155.15	145.93	141.41	134.87	122.32	128.75	156.75	169.09	112.94	157.6	185.96	150.21	162.79	121.09	100.2	148.07	149.14	147.31	89.12
150.84	155.83	165.54	159.1	185.64	118.44	129.71	171.01	100.05	151.48	121.66	136.06	154.13	163.5	154.34	149.66	143.23	130.8	137.3	165.29	177.1	120.64	166.58	195.26	158.55	171.61	129.18	108.86	156.61	157.7	155.11	97.66
157.33	163.07	173.01	165.31	193.07	126.14	136.08	179.35	106.33	159.03	128.78	143.52	161.54	170.5	162.04	156.58	150.26	137.51	143.92	173.2	184.1	128.71	174	203.02	166.29	179.05	134.99	116.61	164.07	165.21	161.33	104.91
169.77	175.08	185.63	178.88	206.82	138.4	146.62	191.99	115.94	170.76	140.25	154.86	172.46	181.93	174.48	167.32	161.5	146.83	154.4	183.99	194.81	138.49	185.29	214.24	177.16	189.84	144.5	127.98	175.53	176.95	172.26	115.49
176.48	181.57	192.93	184.85	212.88	146.02	152.21	198.9	121.99	177.48	146.55	162.07	178.83	188.13	181.02	173.87	167.81	153.41	161.97	191.43	201.36	145.52	193.07	221.76	184.09	197.1	150.29	135.53	182.75	184.23	178.67	122.74
183.7	189.41	200.71	193.25	220.32	153.38	159.05	207.2	128.86	185.44	153.67	169.92	186.52	195.33	188.58	181.51	175.31	160.76	170.17	199.1	208.46	152.7	200.77	229.78	191.78	204.74	156.87	143.22	190.33	192.18	186.03	130.83
255.94	261.7	276.55	269.1	297.83	228.86	219.69	285.57	190.77	260.32	224.19	245.38	256.9	265.87	264.48	249.73	244.39	226.91	241.69	272.98	277.44	220.78	275.36	309.36	264.19	278.34	217.73	218.35	264.77	267.53	252.53	203.59
315.52	319.33	337.01	330.53	359.11	291.91	268.89	348.88	240.03	320.89	281.27	308.55	313.49	320.83	324.96	305.85	301.23	280.83	301.28	332.47	331.8	276.65	336.4	373.61	322.01	337.5	266.81	281.71	324.59	328.92	306.29	263.56
361.94	364.71	384.47	378.92	408.19	340.29	306.59	398.95	279.91	368.4	326.01	357.62	357.4	364.38	371.91	348.39	345.46	323.02	347.64	379.8	374.47	320.47	384.62	425.15	367.33	384.68	305.05	330.17	372.02	378.15	347.76	310.76
404.07	404.27	425.71	420.26	450.59	381.6	339.76	441.53	313.24	409.83	363.59	399.52	395.77	402.32	413.16	386.38	383.64	358.35	387.12	419.91	412	356.62	425.65	468.04	406.13	424.54	337.97	372.78	412.4	419.28	385.52	350.45
437.92	436.14	459.08	454.71	485.15	415.65	366.63	476.13	340.52	442.99	395.46	433.02	426.56	432.62	446.13	416.45	414.19	387.7	418.46	452.22	442.49	387.53	458.51	502.73	437.82	456.72	364.95	406.62	445.12	452.46	414.42	382.8
465.47	461.48	485.4	481.08	512.84	442.44	389.54	503.38	363.03	469.79	420.14	460.96	451.54	457.44	471.89	440.86	439.16	411.55	444.79	478.8	466.3	412.21	485.01	531.18	463.6	482.74	388.05	433.96	470.98	478.89	438.36	409.03
487.49	483.22	508.48	503.65	535.32	465.38	408.15	527.35	383.11	491.38	441.07	483.57	472.78	477.51	494.02	461.88	459.62	432.02	466.27	501.08	487.12	433.19	507.14	554.29	484.84	504.73	406.53	456.35	493	501.77	459.28	430.54
510.01	503.6	530.01	524.76	556.3	486.17	426.22	548.46	401.31	513.15	460.65	504.28	492.22	497.67	515.36	480.4	479.66	451.45	486	521.17	507.34	452.65	528.81	576.25	505.21	525.9	423.86	477.73	514.63	522.59	478.04	451.23
528.09	522.08	547.79	543.25	575.45	504.48	442.62	567.06	417	531.18	477.56	523.38	509.72	514.84	533.49	497.45	496.67	467.46	503.7	538.45	523.9	469.5	546.06	594.53	523.44	543.19	440.31	495.32	532.55	540.71	494.78	468.91
559.59	551.32	578.67	573.88	606.09	535.86	469.53	598.7	444.58	561.41	507.12	554.21	539.48	544.09	563.54	527.67	526.44	496.3	534.04	569.16	553.24	498.55	576.01	625.55	552.83	573.32	467.12	526.39	562.67	571.43	524.3	498.66
