allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
140.06	151.59	155.1	144	171.8	113.8	126.8	153.61	99.21	126.82	110.4	122.15	138.23	149.51	136.64	134	125.13	124.71	125.75	148.79	157.88	116.32	147.19	171.42	141.12	152.44	123.72	105.27	136.84	142.87	140.55	85.37
149.78	165.99	170.87	159.63	188.18	129.59	140.94	170.11	109	137.82	121.03	133.88	148.63	160.71	147.94	145.37	136.58	135.79	136.55	159.9	168.75	126.77	157.91	183.41	152.33	163.81	134.38	115.88	147.94	154.11	150.76	95.47
160.76	182	187.68	175.93	205.36	146.06	156.68	187.37	119.9	149.41	133.39	145.65	160.52	172.71	160.02	157.12	148.19	146.95	148.15	171.68	180.58	137.8	169.76	195.49	164.95	175.53	145.31	127.58	159.53	166.14	162.81	106.62
172.72	197.61	203.43	192.33	221.17	161.93	171.61	203.66	131.04	160.37	144.7	157.38	171.57	184.69	171.04	169.47	159.63	158.03	159.46	183.68	192.42	148.85	181.4	207.27	176.76	187.42	155.85	139.04	171.32	177.88	173.79	118.18
185.49	212.9	219.96	209.34	238.35	179.08	187.87	221.55	143.11	173.3	156.59	170.29	184.41	197.07	183.86	182.51	172.25	170.51	171.91	196.87	204.79	160.65	194.54	219.87	189.55	199.73	167.65	151.33	183.97	190.95	186.99	130.78
198.11	227.98	235.46	224.35	254.95	195.27	201.69	237.69	153.86	185.58	168.43	182.4	196.51	208.85	196.5	194.76	184.71	181.98	184.46	208.22	216.04	172.42	205.61	232.54	202.23	211.74	179.2	163.18	196.13	202.02	198.2	142.52
208.72	241.26	249.02	237.89	268.76	208.72	214.16	253.24	164.27	196.71	179.46	193.8	207.25	219.84	207.16	205.8	195.99	193.51	195.5	219.13	226.79	183.58	216.4	244.06	212.67	222.39	189.82	174.56	206.99	213.78	208.34	153.41
220.77	255.55	264.79	252.58	283.07	223.31	227.35	268.04	175.43	207.83	190.79	205.34	218.12	230.74	218.05	216.61	206.49	203.82	206.81	230.27	238.06	194.76	228.05	257.55	224.35	233.71	200.7	186.3	217.97	224.76	219.11	165.19
232.73	269.21	278.32	267.51	296.61	237.24	239.38	282.06	186.45	219.16	202.17	216.8	229.35	242.37	229.79	228.77	218.28	214.67	218.34	241.96	249.94	205.72	240.03	269.43	236.23	245.01	211.14	198.3	229.28	236.9	230.02	177.02
243.71	281.89	290.76	280.22	310.02	250.02	251.05	295.5	196.9	230.06	212.83	227.73	240.1	254.43	241.01	239.52	229.2	225.53	228.54	253.83	261.57	216.39	251.63	280.94	247.1	258.03	221.6	209.07	240.83	247.97	240.64	188.68
348.98	387.26	400.92	390.29	419.43	361.82	348.28	408.45	290.53	334	313.7	333.11	340.91	354	344.64	339.91	329.12	324.45	330.69	356.07	359.32	315.87	354.61	388.02	349.19	359.04	317.99	314.75	342.81	351.64	338.93	291.7
434.41	468.19	485.84	474.08	503.45	446.49	420.35	494.32	365.35	420.92	396.5	421.18	423.48	436.48	430.56	421.9	410.26	404.39	414.33	441.9	441	396.47	441.13	478.17	432.92	444.64	395.48	402.92	427.77	439.37	419.21	376.86
