allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
127.7	138.91	143.75	134.54	160.72	101.55	112.2	145.67	87.37	122.79	101.57	113.97	130.87	142.27	130.86	125.92	118.7	114.52	116.87	142.5	151.14	105.26	143.43	168.2	133.95	146.69	113.53	94.61	130.76	134.82	132.78	76.91
137.69	152.29	157.54	148.9	175.22	115	123.97	160.47	96.56	133.78	112.15	125.38	141.6	153.1	141.94	137.25	129.5	124.7	127.63	153.05	162.45	115.18	154.08	180	144.87	158.15	123.2	105.96	141.94	146.97	143.24	87.57
146.63	163.71	169.66	159.5	186.84	126.58	133.94	171.94	104.67	144.16	121.27	135.55	151.35	162.42	151.33	146.96	139.13	134.77	137.92	164.06	171.66	125.43	164.73	191.72	154.95	168.77	132.38	115.94	151.84	156.55	152.31	97
151.22	174.68	181.09	171.4	197.54	138.07	143.77	184.23	113.39	153.61	129.72	145.78	160.2	171.69	161.07	155.79	149.08	144.44	147.82	174.07	181.51	134.93	175.13	202.16	165.8	178.8	141.06	126.21	161.92	167.5	161.29	107.27
161.88	189.28	196.63	185.64	212.43	152.36	156.3	199.09	124.24	166.12	141.94	158.72	172.63	184.1	173.94	168.18	161.37	155.7	160.06	186.46	193.09	146.52	187.92	215.51	178.22	191.43	152.18	138.59	174.63	179.76	173.24	119.14
181.83	206.59	214.65	204.63	233.13	171.94	173.1	218.81	138.45	182.31	158.52	174.22	187.9	199.82	191.01	183.86	176.84	169.54	174.59	201.76	207.86	160.91	203.05	231.32	192.88	206.48	166.78	154.14	189.88	195.55	188.69	134.39
187.13	214.66	223.43	213.65	240.13	180.76	180.15	228.56	145.51	190.65	165.85	183.24	195.94	207.2	198.09	191.6	184.44	177.85	183.44	210.2	215.42	168.82	211.74	240.65	201.5	214.8	174.12	162.52	198.31	203.87	196.13	143.27
197.15	226.06	235.74	224.81	252.89	193	191.27	241	155.29	201.25	175.8	194.56	205.99	217.56	208.59	201.64	195.05	188.19	194.11	221.03	225.98	179.35	223	252.57	212.29	225.88	183.74	174.45	209.08	214.59	206.55	153.82
204.35	235.52	244.71	234.16	261.37	201.99	198.82	250.5	163.07	210.28	184.37	203.33	214.8	226.02	217.23	210.39	203.28	196.83	203.23	230.26	234.66	188.71	231.99	263.13	221.41	234.9	191.99	184.23	218.27	223.77	214.53	162.98
215.95	248.8	258.4	247.8	275.15	215.23	209.99	264.93	174	222.29	196.52	214.88	226.65	237.42	229.38	222.15	214.81	207.73	214.63	241.68	245.85	199.41	244.21	275.44	233.15	247.39	202.8	196.23	230.23	236.35	226.21	175.32
310.89	341.93	356.47	345.48	372.62	313.98	293.21	364.32	257.64	318.38	288.06	312.32	317.44	328.57	324.84	313.06	305.6	296.73	308.24	336.58	335.4	289.66	340	375	326.56	341.41	288.19	293.85	325.34	333.25	315.52	270.85
