allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
140.64	149.8	152.59	141.75	168.93	111.83	124.7	151.14	98.19	124.82	108.72	120.51	136.27	147.81	135.19	132.38	123.95	123.17	123.83	147.17	155.89	114.01	145.92	169.76	138.77	151.02	122.12	103.97	134.83	141.36	139.03	84.74
151.77	164.57	168.61	157.88	185.7	127.41	139.9	167.84	107.97	135.82	119.67	131.97	147.49	158.99	145.93	143.67	135.12	134.06	134.95	158.59	166.73	124.81	156.26	181.29	150.39	162.03	132.85	114	145.05	152.12	149.6	94.13
162.66	179.5	184.37	173.4	202.47	142.63	154.5	184.6	118.53	146.73	131.11	143.11	158.56	170.57	157.14	155.4	146.2	144.6	146.53	169.75	178.5	136.23	167.22	193.08	162.42	172.83	143.1	125.26	156.46	163.61	160.77	105.07
175.29	194.77	200.6	190.04	218	159.25	169.53	201	130.49	158.52	142.51	154.98	170.25	182.64	169.55	167.24	157.96	156.39	157.05	181.43	190.67	146.99	179.28	204.69	174.51	184.88	154.38	137.04	168.56	175.76	172.36	116.61
187.24	208.6	214.54	204.71	233.43	174.77	183.92	216.1	141.01	170.11	153.7	166.5	182	194.6	181.09	179.34	169.39	167.74	169.02	194.02	201.56	157.94	190.98	216.26	186.65	196.66	165.17	148.24	180.19	187.2	183.74	127.98
199.8	222.71	230.31	219.58	249.1	189.94	198.25	232.18	151.49	181.58	165.1	178.35	193.4	205.8	192.87	191.54	181.36	178.69	180.74	204.71	212.86	169.15	202.28	228.24	198.38	207.72	176.25	159.53	191.65	199.23	195.2	139.16
211.77	236.57	244.47	233.11	263.85	204.05	210.54	247.4	162.26	193.16	176.71	190.47	204.06	216.4	203.96	202.66	192.63	189.7	191.81	216.15	223.51	180.34	213.19	239.84	209.53	218.95	187.47	170.77	202.47	209.91	205.88	150.33
222.6	249.24	258.97	246.75	277.26	217.01	222.89	262.24	172.69	203.45	187.48	201.47	214.54	227.77	214.67	213.45	203.41	200.41	203.08	226.68	234.33	191.2	224.2	252.11	220.44	229.9	197.74	182.55	213.36	220.59	216.26	161.33
234	263.87	271.83	261.54	290.05	230.67	234.97	275.27	183.22	214.45	198.31	212.27	225.68	238.75	226.06	224.71	213.8	210.95	213.93	237.9	245.18	201.39	235.33	264.41	231.66	241.04	207.42	193.56	224.42	231.79	226.6	172.21
246.05	276.04	285.04	274.13	303.46	244.32	246.26	289.12	193.7	225.43	209.02	223.37	236.62	249.61	236.97	235.51	225.17	221.41	224.7	249.08	257.63	212.24	246.62	275.91	243.09	252.45	218.13	204.55	235.67	243.61	237.47	183.59
347.69	378.88	393	381.42	410.18	353.08	341.73	398.95	286.2	327.53	308.56	326.21	335.47	348.67	338.97	334.57	323.52	318.47	324.92	350.08	353.04	310.3	347.63	379.73	342.95	352.32	312.67	307.77	336.15	345	333.31	285.04
431.48	459.82	477.1	465.45	494.07	437.69	414.06	484.97	360.45	413	391.01	413.74	417.41	430.98	424.16	415.86	403.9	397.98	407.85	434.99	434.61	390.57	433.25	470.03	426.35	437.16	390.08	395	421.35	432.12	412.85	369.33
498.99	523.72	544.72	532.68	560.24	504.09	469.89	553.26	421.2	484.19	457.84	485.63	484.42	497.72	493.79	481.55	469.28	462.76	475.98	505.17	500.39	456.05	504.06	545.41	494.18	506.71	452.9	467.34	490.62	503.5	477.2	438.91
555.51	576.78	599.17	586.89	613.95	558.78	517.25	609.01	471.53	543.72	514.16	546.27	540.01	553.47	551.96	536.03	524.02	517.25	533.12	563.55	555.78	510.25	562.97	606.53	550.82	565.15	505.15	528.27	548.35	563.15	531.83	496.52
601.04	618.8	644.63	631.16	658.5	603.45	554.81	654.73	513.88	592.37	560.02	594.74	586.08	598.52	599.09	580.91	568.72	561.71	579.41	610.44	600.71	554.88	610.74	657.37	596.51	611.9	548.81	577.26	595.59	611.74	576.65	544.59
640.04	655.38	681.9	668.45	695.47	641.62	587.82	692.47	549.14	632.39	598.27	635.93	624.03	637.29	639.37	618.22	606.11	599.04	618.08	651.22	638.55	593.24	650.99	699.25	635.45	652	585.41	618.32	635.2	652.69	613.16	584.75
674.12	687.15	714.72	700.6	727.53	673.34	616.3	725.32	580.08	667.66	631.56	671.27	657.72	670.58	673.55	651.25	639.08	631.62	651.88	685.17	671.94	625.79	685.68	735.68	669.32	685.7	616.8	654.19	669.33	687.93	646.57	619.06
703.44	714.83	743.08	729.18	756.04	702.07	642.07	754.27	607.27	697.94	660.8	701.66	686.32	699.06	703.08	679.98	667.39	659.92	680.98	715.11	700.38	654.51	715.75	767.31	698.25	715.52	644.6	684.65	698.7	718.25	674.57	649.02
728.94	738.86	769.46	753.56	782.38	726.26	664.49	780.28	630.82	723.64	685.94	727.83	711.84	724.25	729.13	704.85	692.56	684.57	706.77	740.9	725.66	679.17	741.82	794.91	723.53	740.99	668.93	711.2	724.49	744.32	698.75	674.5
775.06	782.06	811.98	797.3	824.44	770.52	702.61	823.54	671.75	769.24	728.47	773.66	754.15	767.26	774.19	746.82	734.35	726.31	749.47	786.35	769.43	721.89	786.93	840.83	767.25	786.49	710.47	755.36	769.43	789.42	741.1	718.37
810.98	816.52	847.48	832.4	859.44	805.49	734.97	859.12	706.39	806.52	764.27	810.46	791.31	803.91	809.75	783.63	771.55	761.05	787	822.24	804.8	757.02	823.38	877.33	803.76	822.45	744.9	793.77	805.99	826.32	777.07	754.55
841.69	845.98	877.39	861.89	889.8	835.74	763.21	889.11	734.85	837.22	795.76	841.92	821.52	833.59	840.45	813.11	801.19	792.72	817.37	852.53	834.73	788.33	854.14	909.1	834.54	853	775.77	824.94	836.36	856.74	807.02	786.61
869.2	871.81	904.43	888.38	916.23	861.69	789.69	916.12	760.25	864.77	821.78	868.78	848	859.97	867.67	839.57	827.03	818.56	844.11	879.38	860.38	814.53	881.03	937.11	860.68	879.62	802.05	852.19	862.67	883.93	833.39	813.41
892.79	894.57	927.68	912.04	939.36	884.9	810.73	939.53	784.72	887.97	845.29	892.52	871.21	883.43	890.82	862.59	851	841.43	867.16	903.39	883.99	837.56	905.17	960.75	884.17	903.74	824.46	875.7	885.49	907.69	856.52	837.04
1046.08	1043.18	1077.6	1061.18	1088.47	1035.02	955.73	1090.08	932.34	1039.87	995.48	1044.72	1020.45	1032.93	1041.68	1011.4	998.85	990.22	1017.76	1053.57	1033.2	986.9	1056.18	1113.31	1034.74	1053.84	972.27	1027.83	1036.24	1059.36	1005.69	986.84
1138.2	1133.25	1168.64	1151.71	1179.48	1124.92	1044.44	1181.32	1022.88	1131.09	1085.4	1136.02	1111.05	1122.93	1131.9	1101.99	1088.81	1080.03	1107.99	1143.67	1123.68	1076.76	1146.57	1204.47	1125.31	1143.88	1061.96	1118.31	1126.53	1149.45	1096.24	1077.57
1207.2	1201.31	1236.4	1219.54	1247.08	1193.43	1112.22	1249.16	1090.29	1199.2	1154.02	1204.14	1178.51	1191.08	1199.64	1169.62	1156.37	1146.47	1175.43	1211.58	1191.27	1144.42	1215.03	1272.23	1192.98	1211.02	1129.25	1186.3	1194.41	1217.06	1163.88	1144.59
1263.15	1255.97	1293.76	1274.7	1304.17	1248.33	1166.78	1305.82	1144.75	1254.67	1208.55	1259.19	1233.9	1245.78	1255.44	1224.12	1210.53	1202.03	1230.83	1266.11	1246.06	1199.3	1270.19	1329	1248.29	1266.27	1184.13	1241.28	1249.55	1271.37	1218.19	1199.81
1313.85	1306.02	1341.93	1324.21	1352.34	1297.94	1215.1	1354.29	1193.12	1304.66	1257.33	1309.25	1283.11	1295.2	1304.67	1272.31	1258.7	1249.88	1279.49	1315.76	1295.63	1247.29	1320.19	1377.13	1297.9	1315.93	1232.16	1290.45	1299.25	1321.33	1266.4	1247.97
1356.98	1348.72	1384.89	1367.21	1394.78	1341.02	1256.95	1397.66	1236.5	1347.64	1301.6	1352.32	1326.14	1338.63	1347.9	1316.85	1302.76	1294.31	1324.04	1359.29	1339.13	1292.34	1363.11	1420.16	1340.72	1358.47	1275.2	1333.54	1342.03	1364.39	1311.16	1292.05
1397.15	1388.26	1425.29	1406.96	1435.27	1381.06	1298.77	1437.12	1275.81	1386.99	1341	1391.63	1365.74	1378.29	1387.61	1356.17	1341.95	1333.66	1363.63	1398.52	1379.43	1332.21	1402.42	1459.69	1380.78	1397.95	1316.29	1372.99	1381.88	1403.42	1351.17	1331.63
1433.87	1424.97	1461.51	1443.81	1471.41	1417.17	1334.97	1473.42	1313.86	1424.02	1377.99	1428.6	1401.62	1414.84	1424.15	1392.69	1378.05	1370.23	1399.29	1434.75	1415.29	1368.36	1439.99	1496.01	1417.63	1434.59	1352.45	1408.79	1418.28	1440.11	1387.67	1367.67
1469.19	1459.6	1496.28	1478.27	1506.32	1452.02	1369.68	1508.63	1348.68	1458.45	1412.82	1462.84	1436.84	1449.53	1458.75	1427.69	1412.75	1403.52	1434.79	1469	1450.65	1402.55	1474.9	1530.16	1452.21	1468.61	1386.92	1443.65	1452.94	1474.51	1422.55	1402.11
