allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
107.98	118.67	123.59	116.15	144.58	79.41	95.34	128.87	69.83	111.64	85.27	97.45	117.04	126.47	114.62	112.75	105.95	97	100.07	127.73	139.77	86.49	127.86	155.05	120.27	133.08	96.34	74.28	117.41	119.2	118.12	62.52
114.8	132.83	138.65	130.38	158.51	92.42	107.97	142.6	78.87	124.45	95.69	109.8	128.58	137.43	126.96	124.15	117.39	107.25	111.94	139.51	151.05	97.51	140.34	167.51	132.14	144.62	105.73	85.09	130.1	131.53	129.59	73.54
126.62	148.23	155.82	147.83	177.1	108.64	121.52	160.91	89.49	139.24	109.97	123.96	142.47	151.17	142.42	137.7	131.09	120.27	125.32	153.36	164.61	109.9	153.85	183.22	146.58	159.64	118.15	99.05	144.98	145.96	143.37	86.31
134.41	159.49	166.63	158.48	187.93	120.36	130.99	173.14	97.55	148.89	118.79	134.48	151.55	160.56	151.95	147.03	140.82	129.49	135.81	164.35	173.9	119.45	164.51	194.47	156.78	169.48	126.03	109.32	154.59	156.41	151.4	95.89
146.37	178.78	186.88	180.13	210.27	140.23	148.05	194.37	110.54	165.4	135.64	151.59	167.04	175.63	169.42	162.56	156.48	142.59	150.31	179.13	188.6	133.12	180.43	210.7	171.49	185.21	139.6	125.82	170.54	173.48	166.69	112.04
152.61	185.01	193.23	185.3	214.5	146.9	152.64	200.33	116.53	172.33	141.36	158.76	173.69	181.84	175.61	168.55	162.48	149.53	158.05	186.86	194.6	140.46	187.88	219.2	179.39	192.86	144.58	133.74	177.92	180.04	172.27	119.21
163.81	199.93	207.38	200.83	230.77	162.21	164.41	216.16	127.47	185.67	153.75	172.31	186.04	194.24	189.02	180.84	174.72	160.81	170.1	199.04	206.34	151.72	201	232.64	191.68	205.33	155.33	146.92	191.03	193.29	184.58	132.19
171.4	209.96	219.59	212.08	241.81	173.38	173.52	228.17	135.22	195.59	162.9	181.98	195.15	202.9	198.2	189.51	183.95	168.9	179.4	208.97	214.75	160.64	210.33	242.43	200.68	214.61	162.53	156.37	200.2	203.13	193	142.01
181.15	220.76	230.22	223.06	253.2	184.56	182.04	239.5	143.36	205.66	172.5	192.63	204.74	212.29	208.48	198.96	193.39	178.06	189.6	218.35	224.56	169.85	220.55	254.52	211.11	223.97	170.69	166.84	210.62	213.01	201.66	151.79
188.62	228.47	238.14	230.8	260.93	193.46	188.38	247.82	149.76	213.08	178.93	200.41	211.32	219.34	215.62	205.72	200.3	185.43	197.32	226.56	231.1	177.48	228.38	263	218.64	232.15	177.23	175.1	218.04	221.05	207.9	159.81
278.68	316.11	329.91	323.9	353.96	285.58	258.38	345.19	219.72	299.67	260.39	288.45	291.62	298.75	301.69	284.74	279.32	260.86	279.52	310.76	308.35	255.09	314.14	353.54	300.35	316.75	246.44	262.92	302.79	307.25	285.23	244.29
364.44	375.34	393.16	388.02	418.55	350.04	309.28	412.31	275.66	364.11	322.23	354.56	352.26	358.38	366.23	343.25	339.42	318.66	341.69	374.09	367.23	314.65	378.87	421.66	362.32	379.83	300.69	328.71	366.97	372.73	343.01	308.69
439.15	421.29	442.31	436.41	467.7	399.69	350.55	460.89	317.69	416.28	370.18	407.56	401.29	406.89	417.79	390.74	387.44	364.05	391.56	424.85	414.46	362.17	431.02	475.25	412.09	430.3	343.69	381.51	418.69	425.1	390.1	359.38
502.68	460.09	482.51	477.12	509.16	440.25	384.53	502.57	353.57	458.27	410.21	451.1	440.62	445.86	459.79	428.76	426.09	402.46	431.81	466.52	453.11	401.43	472.67	519.9	452.48	472.25	379.12	425.71	460.26	467.88	428	401.24
551.43	493.18	518.33	513.01	545.59	474.84	414.66	538.97	383.96	494.06	444.07	487.49	474.12	478.42	495.37	462.2	459.27	434.01	466.26	501.56	485.44	434.69	509.11	557.08	486.88	507.19	409.41	461.66	495.78	503.63	461.45	436.9
590.74	522.24	548.11	543.33	575.94	505.07	440.37	569.28	410.05	525.42	472.84	519.16	503.21	507.04	526.41	489.51	488.42	461.91	495.66	531.41	514.63	461.72	539.61	588.12	516.7	536.61	435.67	492.31	526.68	533.95	488.78	466.35
614.52	542.49	569.39	563.57	596.85	527.31	459.29	590.52	430.09	547.58	494.12	542.02	524.4	528.89	547.78	511.12	509.06	482.87	518.61	553.62	535.91	483.94	562.04	612.04	539.25	559.69	455.41	515.65	548.81	557.18	509.68	488.96
643.53	569.36	596.49	591.63	624.52	554.72	482.44	618.76	453.28	574.44	520.09	568.11	549.34	553.41	574.52	535.67	533.98	505.84	543.14	579.02	559.33	507.41	588.09	637.99	563.6	584.29	477.63	541.64	574.25	582.53	535.01	515.24
