allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
120.43	141.02	145.88	135.79	162.47	101.43	112.17	147.17	88.37	124.58	102.86	115.63	132.45	143.6	132.58	127.58	120.53	115.66	118.34	143.95	152.56	106.67	144.18	170.02	136.18	149.01	114.64	96.06	132.42	137.41	133.94	78.6
128.84	155.95	160.36	150.64	178.03	116.86	126.41	162.64	98.65	137.49	114.99	128.83	144.63	155.93	145.06	139.92	133.07	128.26	131.12	156.46	165.13	118.25	157.52	183.66	148.61	161.6	126.64	108.72	145.11	150.61	146.19	90.15
136.25	168.35	173.14	163.9	191.97	130.28	137.54	176.92	108.52	149.11	125.57	140.94	155.03	166.97	156.11	151.24	144.37	139.2	142.8	168.9	176.37	129.55	169.34	197.01	160.73	173.61	136.37	121.19	157.27	161.99	156.7	101.24
141.54	179.66	184.35	173.95	200.32	140.73	147.7	186.74	118.57	160.58	135.95	152.86	166.55	178.06	166.96	162.72	155.6	150.7	154.69	181.42	187.66	140.59	182.9	209.82	173.48	185.8	147.11	133.1	169.05	174.84	167.3	112.65
155.14	202.12	208.09	198.02	226.65	164.82	168.51	212.29	133.48	178.32	153.65	170.37	183.26	194.53	185.1	178.72	172.31	165.59	170.61	196.98	203.84	155.8	198.97	227.18	189.95	202.37	161.83	149.55	186.16	191.38	184.39	130.19
165.33	215.9	221.99	211.84	240.67	178.78	180.15	226.84	144.65	191.54	166.14	183.95	195.92	206.93	198.57	191.71	185.22	177.83	183.38	210.43	216.02	168.36	211.84	240.63	202.29	215.26	173.41	163.25	198.76	204.63	196.24	142.91
172.12	227.41	234.23	224.39	253.81	191.47	191.92	239.43	154.39	201.89	175.9	194.86	205.7	217.34	209.05	201.87	195.85	188.11	193.78	220.79	225.69	179.02	223.2	253.94	213.33	225.98	183.21	175.14	209.53	215.84	206.38	154.76
180.2	238.22	246.1	235.11	263.9	202.24	200.8	251.26	163.19	212.44	185.78	205.39	216.24	227.76	218.96	211.71	205.18	198.25	204.63	231.62	235.35	189.41	233.88	265.67	223.8	236.47	192.4	186.47	220.15	226.81	215.43	164.85
195.09	257.33	266.18	255.34	285.03	222.13	217.56	271.3	176.41	227.89	201.48	220.7	230.05	242.11	235.19	226.29	219.83	211.23	218.85	246.24	250.28	202.95	248.22	281.11	238.35	251.29	205.98	201.49	235.11	241.69	230.04	180.84
199.43	268.3	276.05	264.99	293.91	231.73	225.29	281.62	186.53	239.5	211.21	232.32	240.99	252.78	246.51	237.04	230.51	221.6	230.34	257.72	261.3	213.59	260.4	293.08	249.65	263.27	216.02	212.72	245.99	253.65	240.24	191.35
