allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
631.83	629.29	658.03	654	687	616.27	540.76	682.06	515.03	638.4	582.15	632.07	612.44	616.16	639.11	598.96	595.68	567.03	605.36	642.05	622.05	569.91	650.96	702.09	625.14	646.64	537.41	603.13	637.02	645.77	594.89	573.57
652.02	648.85	678.1	672.87	707.03	635.45	558.64	701.63	533.05	658.56	601.11	652.06	631.52	635.32	658.37	617.91	615.06	585.77	624.34	661.38	641.63	589.78	670.73	722.84	645	666.19	555.85	622.25	656.83	664.39	613.95	593.04
669.36	665.96	695.8	690.52	724.37	653.39	575.98	719.48	549.67	675.85	618.9	669.69	649.31	652.93	676.19	635.11	631.82	602.47	642.3	679.8	659.13	606.07	687.72	740.4	662.29	683.72	573.08	640.76	674.22	681.93	630.85	609.98
784.32	781.64	812.55	806.86	842.31	769.56	685.85	836.76	659.65	791.24	730.36	784.8	761.21	764.45	790.78	746.23	742.01	712.99	753.64	793.01	771.24	717.77	803.29	856.3	776.04	796.77	681.55	754.06	788.52	795.59	742.36	721.45
851.72	850.02	882.58	876.07	912.21	839.22	754.16	906.59	728.35	860.59	800.41	854.91	831.48	835.3	858.82	816.28	812.02	783.48	824.47	861.06	840.74	788.19	872.52	925.75	845.49	865.72	750.15	824.75	857.65	864.68	812.81	790.74
904.34	902.74	936.08	928.92	965.74	892.66	807.5	959.58	781.76	913.61	852.52	907.83	884.24	887.89	911.72	868.26	863.63	835.55	876.88	914.21	893.68	840.44	924.76	978.42	898.42	917.75	803.26	876.48	910.22	917.25	865.23	842.2
947.49	947.77	981	974.38	1010.63	937.71	852.17	1005.02	826.74	958.17	898.08	952.26	929.05	932.72	956.68	913.35	908.72	880.35	922.48	959.56	939.24	885.63	970.88	1023.26	942.96	962.64	848.2	921.26	955.1	962.07	910.82	886.51
985.82	986.45	1019.98	1012.07	1048.96	976.35	890.92	1043.48	865.06	996.77	935.84	990.93	966.67	971.15	994.53	951.37	946.32	918.74	960.14	997.81	977.94	924.37	1009.41	1061.2	981.21	1000.64	886.14	960.05	993.7	999.77	949.13	924.42
1021.12	1021.68	1056.64	1047.71	1086.2	1012.18	925.96	1080.3	900.8	1032.42	971.95	1026.3	1002.78	1007.21	1030.73	986.75	981.45	953.96	995.65	1033.3	1013.45	959.28	1044.7	1096.55	1016.94	1035.3	921.5	995.3	1028.65	1034.37	984.29	959.33
1055.13	1055.64	1090.89	1082.41	1120.32	1046.14	960.21	1115	933.88	1066.17	1005.31	1059.79	1035.6	1041.13	1064.4	1020.68	1014.55	986.48	1028.42	1066.67	1046.26	992.39	1078.17	1130.17	1050.4	1068.72	954.94	1028.62	1062.17	1068.09	1017.94	992.7
1083.45	1085.88	1120.78	1112.95	1150.03	1076.82	990.28	1144.41	964.42	1096.94	1035.16	1089.74	1065.83	1070.92	1094.19	1049.95	1044.12	1016.79	1058.57	1095.87	1076.63	1021.96	1108.07	1160.24	1080.8	1098.77	984.99	1057.86	1092.34	1098.64	1048.3	1021.81
1110.28	1112.9	1148.58	1138.89	1177.93	1104.11	1017.62	1172.2	991.97	1123.57	1062.18	1117.44	1093.1	1098.21	1121.29	1077.68	1070.79	1044.28	1085.91	1123.42	1103.42	1050.61	1135.6	1187.97	1108.28	1125.51	1012.2	1085.25	1119.13	1123.92	1075.69	1048.44
1137.27	1141.03	1176.94	1167.83	1206.22	1131.88	1046.15	1200.57	1019.08	1151.96	1090.19	1145.06	1120.33	1126.43	1148.59	1104.97	1098.24	1071.01	1113.43	1150.29	1131.45	1077.38	1163.44	1215.42	1135.53	1153.79	1040.92	1112.6	1146.97	1152.14	1103.99	1076.16
1161.6	1166.24	1202.16	1193.05	1230.85	1156.83	1071.4	1224.96	1044.56	1176.86	1114.72	1170.44	1145.89	1151.38	1174.35	1130.16	1123.38	1096.96	1138.37	1176.7	1157.14	1103.08	1188.9	1240.79	1161.47	1179.24	1065.94	1138.09	1172.95	1177.4	1129.1	1101.14
1187.32	1191.85	1228.18	1219.06	1257.35	1183.44	1097.55	1251.56	1070.28	1202.77	1141.14	1196.58	1172.13	1177.79	1200.44	1156.86	1148.5	1122.23	1164.27	1202.36	1183.16	1128.63	1214.51	1266.22	1187.18	1204.74	1091.21	1163.08	1198.67	1203	1155.3	1126.56
1210.8	1216.36	1252.96	1242.98	1283.22	1207.3	1121.66	1275.85	1094.8	1227.57	1165.41	1220.92	1196.38	1202.08	1224.6	1181.13	1173.5	1146.93	1188.76	1226.61	1207.9	1153.8	1239.3	1292.02	1212	1229.08	1115.75	1187.08	1222.87	1227.37	1179.93	1150.81
1233.45	1240.4	1276.63	1266.72	1307.34	1231.17	1144.95	1301.09	1118.14	1250.65	1189.08	1243.69	1220.23	1225.99	1247.91	1203.72	1196.98	1171.13	1212.21	1249.8	1231.21	1177.39	1262.97	1315.54	1235.39	1252.2	1139.46	1210.62	1246.14	1250.9	1203.74	1174.05
1256.5	1263.74	1301.6	1291.12	1330.48	1254.55	1169.83	1324.9	1141.5	1273.88	1212.07	1267.56	1243.15	1249.12	1271.22	1227.16	1219.25	1193.84	1235.43	1273.07	1254.65	1200.76	1287.44	1338.5	1258.68	1275.55	1163.05	1233.31	1269.35	1273.63	1226.99	1197.45
1279.44	1287.54	1324.08	1313.74	1353.11	1277.98	1191.66	1347.43	1164.45	1297.61	1234.52	1291.33	1265.6	1271.52	1295.02	1249.16	1241.55	1216.01	1257.42	1297.31	1277.56	1223.35	1309.81	1360.9	1282.58	1298.4	1185.31	1255.89	1292.92	1296.77	1249.66	1218.95
1303.16	1310.55	1347.94	1337.42	1376.51	1302.16	1215.59	1370.79	1188.12	1321.82	1258.18	1314.57	1290.34	1296.46	1318.77	1273.14	1264.63	1239.24	1281.79	1320.05	1301.71	1246.32	1333.18	1384.07	1306.14	1321.61	1208.95	1279.53	1316.49	1320.5	1272.69	1241.94
1322.21	1331.45	1368.29	1357.49	1396.45	1322.77	1235.99	1391.29	1208.79	1341.96	1279.77	1335.48	1311.23	1317.37	1339.28	1295.38	1286.39	1260.34	1303.49	1341.11	1323.73	1267.55	1354.92	1405.02	1326.63	1342.63	1230.14	1300.83	1337.55	1340.6	1295.8	1262.57
1344.32	1353.72	1390.98	1380.14	1420.06	1344.71	1257.95	1413.26	1230.88	1363.93	1301.64	1357.53	1332.55	1338.72	1361.33	1316.86	1308.3	1282.63	1324.7	1363.08	1345.06	1291.4	1376.21	1427.34	1348.68	1364.09	1251.2	1323.57	1358.93	1362.54	1317.5	1285.34
1363.51	1373.39	1411.73	1399.26	1439.73	1365.02	1279.17	1434.01	1251.35	1384.76	1322.55	1377.26	1352.84	1359.98	1381.36	1337.24	1327.88	1303.91	1345.32	1383.16	1365.5	1311.49	1396.24	1446.82	1369.06	1384.39	1272.21	1343.61	1379.48	1382.43	1338.04	1305.36
1386.14	1395.99	1435.26	1422.96	1462.91	1387.93	1302.56	1457.34	1273.98	1407.09	1344.58	1399.14	1375.53	1382.28	1403.68	1359.35	1350.09	1325.79	1367.24	1404.44	1387.89	1332.89	1418.96	1469.24	1390.87	1406.26	1295.63	1364.78	1401.29	1403.71	1360.66	1327.27
1404.53	1415.56	1453.84	1442.94	1481.99	1407.56	1322.68	1476.82	1295.51	1426.87	1364.27	1419.51	1395.18	1401.95	1423.32	1378.72	1369.87	1345.46	1387.28	1424.84	1407.09	1353.49	1437.6	1489.06	1411.33	1426.01	1315.22	1384.62	1421.75	1424.62	1380.27	1347.17
1423.27	1436.94	1475.93	1463.95	1503.25	1428.86	1343.27	1497.57	1316.43	1448.1	1385.09	1440.81	1416.19	1423.44	1444.64	1399.84	1390.74	1366.71	1407.67	1445.61	1428.53	1374.61	1459.21	1510.27	1432.37	1446.81	1336.36	1405.23	1442.91	1445.4	1401.49	1367.72
1442.32	1455.95	1495.6	1482.86	1523.59	1448.78	1363.6	1517.49	1336.41	1467.9	1404.92	1460.55	1436.39	1443.4	1464.24	1420.1	1410.96	1386.41	1428.04	1465.01	1448.78	1394.13	1479.89	1529.83	1452.52	1466.59	1356.35	1425.76	1461.9	1465.31	1422.32	1387.53
1462.55	1478.78	1518.64	1506.22	1546.67	1471.12	1386.29	1541.26	1357.8	1489.22	1426.85	1481.73	1457.64	1465.23	1485.41	1441.78	1431.72	1406.52	1448.69	1486.23	1469.73	1415.4	1500.02	1551.71	1473.59	1487.36	1378.09	1446.46	1483.9	1485.72	1443.34	1408.1
1480.5	1497.64	1537.18	1524.52	1565.46	1490.01	1405.51	1559.65	1377.47	1508.86	1446.2	1500.57	1476.86	1484.39	1505.54	1461.14	1450.9	1426.98	1467.95	1505.54	1489.6	1435.84	1520.21	1571.21	1493.13	1506.96	1397.66	1466.06	1503.04	1504.93	1463.4	1427.81
1498.84	1516.68	1556.8	1543.49	1583.98	1508.86	1425.1	1578.12	1397.02	1527.48	1465.02	1520.33	1496.04	1503.99	1524.36	1480.08	1469.48	1446.78	1487.76	1524.8	1508.81	1454.84	1538.81	1590.15	1512.88	1525.91	1417.54	1485.56	1522.59	1524.92	1482.31	1446.78
1515.63	1537.1	1577.24	1564.45	1604.27	1529.04	1444.95	1598.49	1416.68	1549.36	1485.62	1541.06	1516.32	1523.68	1545.26	1500.42	1489.6	1466.32	1507.76	1545.82	1529.03	1474.68	1559.44	1609.68	1532.16	1546.03	1437.54	1505.65	1542.55	1544.95	1502.21	1465.98
1536.69	1557.57	1597.51	1584.48	1625.09	1549.83	1464.89	1619	1436.82	1569.16	1504.73	1560.75	1535.84	1544.09	1564.89	1519.33	1508.81	1485.39	1527.2	1565.05	1549.33	1494.16	1579.55	1629.38	1552.73	1566	1456.74	1524.74	1562.29	1564.45	1521.55	1485.64
1552.92	1575.39	1615.59	1601.51	1642.99	1568.07	1483.89	1637.43	1455.57	1587.49	1523.36	1579.45	1555.53	1563.64	1582.69	1538.43	1527.79	1504.12	1546.5	1583.98	1568.16	1513.25	1598.02	1648	1571.41	1584.3	1475.29	1543.03	1581.24	1582.36	1541.15	1503.92
1571.09	1595.9	1635.78	1621.75	1662.88	1587.95	1504	1657.7	1475.83	1606.94	1544.08	1598.5	1575.4	1583.36	1602.99	1558.94	1548.19	1523.83	1566.87	1603.48	1588.61	1532.72	1618.86	1668.34	1591.2	1603.99	1495.58	1562.73	1600.9	1602.53	1561.91	1524.08
