allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
107.38	109.38	115.55	107.61	134.92	70.37	89.45	118.61	65.19	105.72	79.03	89.65	111.25	120.85	108.86	107.16	99.91	89.46	92.07	120.22	134.48	80.06	119.75	146.63	113.75	125.99	91.17	65.98	110.1	111.32	112.73	56.29
113	115.16	121.84	114.75	140.94	76	94.99	125.91	69.99	111.74	84.37	95.42	117.22	126.79	114.87	112.86	105.46	95.13	98.13	126.48	140.42	85.46	126.36	153.02	120.42	132.25	96.21	71.07	116.55	117.03	118.52	61.4
119.81	123.04	130.46	122.92	149.04	83.69	101.89	134.26	75.86	119.46	91.45	103.31	124.86	134.41	122.77	120.65	113.11	102.31	105.61	134.34	147.99	92.27	134.22	160.91	128.14	139.88	102.94	77.68	124.7	125.62	126.28	68.17
128.39	132.42	139.58	132.13	158.67	92.31	110.14	144.33	82.83	128.84	100.08	112.1	133.63	142.79	132.32	129.37	121.77	110.21	114.53	142.73	156.36	100.45	142.82	170.03	136.52	148.53	110.66	85.51	133.78	133.93	134.82	75.59
133.95	139.47	147.43	139.63	166.17	100.12	117.07	151.38	89.16	135.76	107.29	119.47	140.57	149.66	139.79	136.09	128.76	117.6	122.14	150.7	163.33	107.28	150.37	177.88	144.17	155.33	116.99	92.86	141.07	141.77	141.48	82.45
141.24	147.52	155.44	147.38	174.48	107.54	124.36	159.77	95.49	143.65	115.29	127.81	148.54	157.88	147.85	143.82	136.54	124.92	130.67	158.43	171.05	115.1	158.72	186.54	151.84	163.58	124.04	101.08	148.95	149.45	149.06	89.89
150.34	156.2	166	157.19	184.42	118.11	132.73	170.05	103.31	152.48	124.28	137.24	157.01	166.73	157.26	152.14	145.46	132.98	138.94	167.22	180.02	123.59	168.03	195.74	160.64	172.36	132.48	109.3	158.13	158.94	157.78	98.38
157.4	163.73	173.54	165.22	192.64	125.82	139.27	178.08	109.86	160.41	132.23	144.96	164.57	174.11	165.17	159.81	152.61	140.09	146.74	175.09	187.54	131.11	175.84	204.01	168.09	180.36	138.87	117.04	165.86	167.03	164.8	105.62
163.08	169.96	179.72	171.64	198.74	132.29	145.4	184.72	115.47	166.31	138.06	150.66	170.78	180.16	170.9	165.54	158.95	146.23	152.97	181.86	193.54	137.12	182.49	210.27	174.49	186.48	144.12	123.49	172.12	172.67	170.5	112.06
171.36	178.73	189.61	181.02	207.31	141.36	152.59	194.72	123.48	175.6	146.72	159.76	178.99	189.4	180.65	174.14	167.64	153.74	161.86	190.41	201.91	145.37	191.27	219.05	183.18	195	151.71	132.15	181.13	181.95	178.94	120.2
