ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 7	 7
 0	 1	 6	 6
 0	 2	 6	 6
 0	 3	 6	 6
 0	 4	 6	 6
 0	 5	 6	 6
 0	 6	 6	 6
 0	 7	 6	 6
 1	 0	 7	 7
 1	 1	 7	 7
 1	 2	 7	 7
 1	 3	 7	 7
 1	 4	 7	 7
 1	 5	 7	 7
 1	 6	 7	 7
 1	 7	 7	 7
 2	 0	 1	 1
 2	 1	 1	 1
 2	 2	 1	 1
 2	 3	 1	 1
 2	 4	 1	 1
 2	 5	 1	 1
 2	 6	 1	 1
 2	 7	 1	 1
 3	 0	 7	 7
 3	 1	 7	 7
 3	 2	 7	 7
 3	 3	 7	 7
 3	 4	 7	 7
 3	 5	 7	 7
 3	 6	 7	 7
 3	 7	 7	 7
 4	 0	 5	 5
 4	 1	 4	 4
 4	 2	 4	 4
 4	 3	 4	 4
 4	 4	 4	 4
 4	 5	 4	 4
 4	 6	 4	 4
 4	 7	 4	 4
 5	 0	 4	 4
 5	 1	 3	 3
 5	 2	 3	 3
 5	 3	 3	 3
 5	 4	 3	 3
 5	 5	 3	 3
 5	 6	 3	 3
 5	 7	 3	 3
 6	 0	 7	 7
 6	 1	 6	 6
 6	 2	 6	 6
 6	 3	 6	 6
 6	 4	 6	 6
 6	 5	 6	 6
 6	 6	 6	 6
 6	 7	 6	 6
 7	 0	 7	 7
 7	 1	 7	 7
 7	 2	 7	 7
 7	 3	 7	 7
 7	 4	 7	 7
 7	 5	 7	 7
 7	 6	 7	 7
 7	 7	 7	 7
 8	 0	 3	 3
 8	 1	 2	 2
 8	 2	 2	 2
 8	 3	 2	 2
 8	 4	 2	 2
 8	 5	 2	 2
 8	 6	 2	 2
 8	 7	 2	 2
 9	 0	 7	 7
 9	 1	 7	 7
 9	 2	 7	 7
 9	 3	 7	 7
 9	 4	 7	 7
 9	 5	 7	 7
 9	 6	 7	 7
 9	 7	 7	 7
10	 0	 7	 7
10	 1	 7	 7
10	 2	 7	 7
