ch	pt	fine_thr	a_fit	b_fit
 2	 4	 3	217.108	0.787
 2	 4	 4	216.021	0.878
 2	 4	 5	215.006	0.896
 2	 4	 6	213.929	0.842
 2	 4	 7	212.956	0.870
 2	 5	 0	220.010	0.696
 2	 5	 1	219.006	0.629
 2	 5	 2	218.106	0.712
 2	 5	 3	217.154	0.722
 2	 5	 4	215.999	0.745
 2	 5	 5	215.016	0.733
 2	 5	 6	213.965	0.691
 2	 5	 7	213.016	0.731
 2	 6	 0	220.004	0.695
 2	 6	 1	219.039	0.640
 2	 6	 2	218.095	0.641
 2	 6	 3	217.137	0.619
 2	 6	 4	215.968	0.634
 2	 6	 5	215.052	0.646
 2	 6	 6	213.961	0.629
 2	 6	 7	212.919	0.652
 2	 7	 0	219.953	0.645
 2	 7	 1	219.078	0.591
 2	 7	 2	218.099	0.601
 2	 7	 3	217.090	0.622
 2	 7	 4	215.996	0.647
 2	 7	 5	215.010	0.622
 2	 7	 6	213.970	0.620
 2	 7	 7	213.007	0.627
 3	 0	 0	226.970	5.218
 3	 0	 1	225.951	5.142
 3	 0	 2	224.906	5.187
 3	 0	 3	224.012	5.145
 3	 0	 4	223.059	5.208
 3	 0	 5	222.093	5.172
 3	 0	 6	221.235	5.133
 3	 0	 7	220.075	5.148
 3	 1	 0	226.756	2.210
 3	 1	 1	225.682	2.115
 3	 1	 2	224.910	2.231
 3	 1	 3	223.851	2.157
 3	 1	 4	222.723	2.104
 3	 1	 5	221.840	2.079
 3	 1	 6	220.917	2.171
 3	 1	 7	219.940	2.142
 3	 2	 0	226.647	1.266
 3	 2	 1	225.667	1.329
 3	 2	 2	224.675	1.320
 3	 2	 3	223.724	1.335
 3	 2	 4	222.686	1.331
 3	 2	 5	221.834	1.256
 3	 2	 6	220.794	1.279
 3	 2	 7	219.753	1.218
 3	 3	 0	226.577	0.989
 3	 3	 1	225.656	0.964
 3	 3	 2	224.706	0.993
 3	 3	 3	223.720	0.986
 3	 3	 4	222.650	1.012
 3	 3	 5	221.756	1.021
 3	 3	 6	220.936	0.964
 3	 3	 7	219.714	0.979
 3	 4	 0	226.598	0.803
 3	 4	 1	225.620	0.865
 3	 4	 2	224.655	0.788
 3	 4	 3	223.655	0.803
 3	 4	 4	222.675	0.797
 3	 4	 5	221.753	0.766
 3	 4	 6	220.807	0.823
 3	 4	 7	219.710	0.789
 3	 5	 0	226.613	0.718
 3	 5	 1	225.631	0.663
 3	 5	 2	224.692	0.692
 3	 5	 3	223.659	0.682
 3	 5	 4	222.683	0.719
 3	 5	 5	221.642	0.726
 3	 5	 6	220.766	0.676
 3	 5	 7	219.719	0.672
 3	 6	 0	226.547	0.664
 3	 6	 1	225.558	0.665
 3	 6	 2	224.660	0.669
 3	 6	 3	223.684	0.663
 3	 6	 4	222.635	0.669
 3	 6	 5	221.611	0.645
 3	 6	 6	220.667	0.697
 3	 6	 7	219.740	0.638
 3	 7	 0	226.685	0.632
 3	 7	 1	225.607	0.624
 3	 7	 2	224.720	0.637
 3	 7	 3	223.601	0.628
 3	 7	 4	222.629	0.648
 3	 7	 5	221.654	0.592
 3	 7	 6	220.716	0.630
 3	 7	 7	219.713	0.597
 4	 0	 0	223.787	5.566
 4	 0	 1	222.963	5.486
 4	 0	 2	221.809	5.445
 4	 0	 3	221.089	5.528
 4	 0	 4	219.989	5.500
 4	 0	 5	218.960	5.575
 4	 0	 6	218.293	5.525
 4	 0	 7	217.199	5.392
 4	 1	 0	223.307	2.422
 4	 1	 1	222.410	2.353
 4	 1	 2	221.420	2.451
 4	 1	 3	220.485	2.349
