allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
10.46	10.09	11.548	11.528	13.355	11.003	10.804	11.926	5.558	6.975	7.375	6.487	6.244	7.119	7.825	7.073	6.622	5.318	5.34	5.442	6.603	4.67	5.163	5.771	5.339	5.538	6.176	5.354	5.094	5.786	6.814	4.749
7.457	6.99	7.65	7.686	9.001	7.697	7.103	8.165	3.912	4.805	5.668	4.619	4.445	5.354	5.586	4.923	5.014	3.591	3.831	4.009	4.773	3.638	4.029	4.434	3.943	4.026	4.616	3.864	3.911	4.349	4.735	3.848
9.358	9.198	9.836	10.209	10.881	9.291	8.996	10.016	5.369	6.46	7.218	5.426	5.92	6.046	6.996	6.164	5.778	4.386	4.306	4.843	5.919	4.196	4.591	5.172	5.061	4.875	5.469	5.101	4.78	5.622	6.058	4.584
7.11	6.615	6.808	7.679	7.818	7.03	6.243	7.319	4.009	4.622	5.249	4.184	4.621	4.846	5.668	4.85	4.691	3.542	3.572	3.922	4.563	3.403	3.671	3.865	3.769	3.898	4.105	3.75	3.758	3.989	4.487	3.847
11.355	9.996	10.129	10.994	12.242	10.934	9.417	11.221	5.734	7.107	7.797	6.332	6.625	7.006	8.104	6.898	6.883	4.979	5.093	5.711	6.215	4.989	5.271	5.672	5.879	5.555	6.622	5.586	5.802	6.009	7.089	5.752
10.962	9.504	9.909	10.827	11.851	10.566	9.676	10.574	5.855	7.308	7.993	6.544	6.492	6.994	8.248	7.103	7.153	5.265	5.505	5.293	6.42	5.054	5.02	5.618	5.8	5.367	6.371	5.601	5.479	6.079	6.644	5.535
9.762	8.866	10.075	10.09	11.426	9.732	8.296	9.699	5.714	6.583	7.548	6.072	6.082	6.519	7.526	6.001	6.311	4.719	4.899	5.031	6.195	4.921	4.821	5.558	5.163	5.518	6.121	5.309	4.941	5.722	6.099	5.267
9.619	8.942	9.461	9.425	11.008	8.599	8.052	9.645	5.451	6.661	7.237	5.843	5.589	6.211	7.299	6.259	5.839	4.525	4.301	4.869	5.688	4.622	4.912	5.578	4.898	5.016	5.695	5.155	4.865	5.333	6.255	4.942
7.946	7.411	7.444	6.964	8.075	7.196	6.183	7.605	4.341	4.743	5.873	4.704	4.66	4.918	5.734	4.578	4.925	3.62	3.925	4.055	4.649	3.523	3.815	4.103	3.937	4.269	4.309	4.191	3.951	4.408	4.71	4.123
9.395	8.927	8.713	9.668	10.011	8.299	7.348	9.016	5.829	6.587	7.331	5.785	6.052	6.821	7.605	6.282	6.311	4.424	4.726	5.186	6.643	4.35	4.749	5.218	5.002	5.692	5.606	5.087	4.853	5.688	6.067	5.198
8.748	7.737	7.298	7.857	8.484	6.968	6.674	8.074	4.652	5.53	6.321	5.193	4.891	5.389	6.266	5.377	5.666	4.136	4.538	4.248	5.349	3.688	4.201	4.712	4.187	4.396	4.942	4.368	4.447	4.898	5.203	4.543
8.434	7.075	6.854	7.629	8.192	6.963	6.371	7.244	4.493	5.037	5.989	4.756	4.56	4.942	6.277	4.914	5.04	3.962	3.976	4.217	4.976	3.947	4.2	4.314	4.231	4.37	5.067	4.235	4.086	4.514	4.899	4.085
7.667	5.824	6.269	6.763	6.9	5.949	5.379	6.267	3.822	4.434	4.963	3.894	3.891	4.386	5.019	4.167	4.288	3.34	3.805	3.83	4.098	3.461	3.799	3.921	3.567	3.843	4.333	3.287	3.782	3.934	4.471	3.702
5.426	4.316	4.678	4.661	5.467	4.508	4.156	4.61	2.878	3.185	3.924	3.107	3.236	3.754	4.021	3.335	3.929	2.708	2.998	3.015	3.414	2.919	3.023	3.001	2.932	2.661	3.545	2.867	2.899	3.032	3.699	3.152
6.36	5.268	5.368	5.492	6.173	5.071	4.949	5.75	3.303	3.829	4.345	3.618	3.539	3.73	4.281	3.973	4.081	3.159	3.362	3.268	3.754	3.183	3.293	3.452	3.007	3.495	3.782	2.794	3.166	3.523	3.931	3.081
5.245	4.222	4.337	4.328	5.189	4.457	4.133	4.811	2.558	3.069	3.387	2.903	2.973	3.135	3.655	2.944	3.351	2.815	2.738	2.919	3.252	2.916	3.025	3.193	3.066	3.011	2.997	2.888	2.752	3.332	3.356	2.938
5.38	4.278	4.619	4.851	5.507	4.723	4.467	5.147	2.93	3.177	3.906	2.944	3.212	3.39	3.824	3.626	3.403	2.851	2.943	2.887	3.598	2.85	2.85	3.141	2.55	3.23	3.384	3.077	2.808	3.296	3.552	3.185
6.092	4.818	5.168	5.42	6.044	5.34	4.395	5.283	3.143	3.486	4.023	2.965	3.033	3.442	4.143	3.222	3.769	3.164	2.951	3.131	3.694	2.869	3.105	3.173	2.902	3.285	3.388	3.228	2.883	3.23	3.846	3.257
5.935	4.877	5.208	5.456	6.394	5.206	4.889	5.535	3.178	3.818	4.015	3.302	3.456	3.734	4.253	3.576	3.901	3.392	3.549	3.029	3.603	3.07	3.198	3.22	3.304	3.527	3.661	3.254	3.306	3.118	4.002	3.345
5.653	4.603	4.602	5.552	5.476	5.059	4.594	4.843	2.994	3.347	3.455	3.098	3.061	3.344	3.712	3.41	3.66	3.149	3.3	3.438	3.611	3.019	3.64	3.149	3.178	3.931	3.77	2.914	2.985	3.966	3.66	3.137
4.643	3.983	4.178	3.996	4.254	3.815	3.62	3.813	2.326	2.73	2.94	2.819	2.913	2.754	3.06	3.003	3.059	2.713	2.773	2.718	2.696	2.333	2.591	2.64	2.593	2.839	2.924	2.462	2.607	2.541	2.919	2.583
5.209	4.776	4.747	4.898	5.504	4.485	4.368	4.61	3.036	3.214	4.183	2.884	3.197	3.225	4.123	3.607	3.909	3.583	3.131	3.306	3.817	3.112	2.952	3.042	3.298	3.196	3.281	3.267	3.047	2.85	3.501	3.407
4.573	4.018	3.964	3.96	4.228	4.167	4.003	3.945	2.588	2.605	3.017	2.331	2.639	3.157	3.364	2.732	3.211	2.989	3.02	2.664	2.937	2.692	2.793	2.674	2.673	3.017	3.634	2.604	2.634	2.935	3.111	2.836
4.524	3.577	4.021	4.108	4.541	3.81	3.764	3.687	2.469	2.922	3.096	2.987	2.4	2.82	3.199	3.12	3.201	3.113	2.541	2.963	3.174	2.509	2.61	2.546	2.651	3.077	3.236	2.917	2.45	2.693	2.772	2.639
4.9	5.003	5.217	4.734	5.664	4.673	4.605	5.113	3.539	3.378	3.897	3.118	3.581	3.767	3.877	3.684	3.909	3.669	3.47	3.378	3.477	3.419	3.31	3.477	3.196	3.438	3.929	2.975	3.643	3.189	3.746	3.387
4.804	4.03	4.481	4.659	5.242	4.718	4.27	4.659	3.049	3.028	3.726	3.102	3.163	3.733	3.736	3.163	3.691	3.554	3.423	3.151	3.399	3.195	3.132	3.173	3.04	3.263	4.037	2.917	3.182	2.866	3.664	3.409
4.54	3.316	3.963	3.666	4.594	3.955	3.618	3.988	2.62	2.516	2.816	2.458	2.948	2.967	3.22	3.078	3.55	2.986	2.929	3.019	3.582	2.52	2.961	3.067	2.979	3.232	3.333	2.399	2.784	3.002	3.253	2.912
4.096	3.52	3.72	3.527	4.09	3.398	3.779	3.778	2.552	2.693	2.843	2.525	2.517	2.891	3.084	2.758	3.223	2.885	3.098	2.844	2.996	2.617	2.873	2.777	2.505	3.003	3.894	2.676	2.47	2.801	2.896	3.038
5.147	4.398	4.422	5.683	5	4.534	4.37	4.862	3.007	3.102	3.305	3.052	3.024	3.282	3.341	2.939	3.619	3.05	3.011	2.937	3.431	2.984	3.695	3.373	2.949	3.591	3.275	2.923	2.88	3.815	3.3	3.062
4.683	3.763	4.244	4.128	4.522	4.507	3.705	4.444	2.4	2.846	3.303	2.854	3.391	3.433	3.18	3.25	3.529	3.233	3.751	3.026	3.1	2.682	2.943	3.125	2.858	2.983	3.541	2.64	2.694	2.764	3.242	3.199
4.644	3.801	4.198	4.344	4.349	4.302	4.185	4.326	2.74	3.219	3.682	3.008	3.035	3.483	3.418	3.485	3.754	3.408	3.155	3.194	3.347	3.183	3.049	3.554	3.15	3.633	3.765	3.075	2.758	3.298	3.443	3.891
4.665	4.47	4.917	4.086	4.876	4.709	4.887	4.54	2.745	3.003	3.389	2.754	2.856	2.67	3.766	3.252	3.596	2.745	2.968	2.915	3.271	3.037	2.951	3.142	2.852	3.379	3.102	2.643	2.843	2.543	3.174	3.272
4.23	3.683	3.761	3.449	4.359	4.13	3.637	3.61	3.009	2.926	3.017	2.756	2.859	2.99	3.144	3.334	3.618	3.207	2.871	3.006	3.639	3.001	2.915	3.453	2.726	3.99	3.496	2.634	3.005	3.234	2.857	3.125
4.435	3.771	4.381	4.181	4.622	4.225	4.025	4.08	2.759	3.484	3.477	3.197	2.953	3.558	3.532	3.317	3.279	3.043	3.129	2.913	3.422	2.888	3.157	3.376	2.954	3.32	3.931	2.691	3.315	2.754	3.493	3.167
3.767	3.441	3.616	3.09	3.814	3.64	3.425	3.392	2.783	2.77	2.801	2.881	2.603	2.841	2.829	3.014	3.161	3.088	3.02	2.763	3.086	2.456	2.994	3.16	2.636	2.823	2.833	2.653	2.691	2.819	3.102	2.945
