allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
7.726	8.5	9.24	9.859	10.453	8.119	8.358	8.944	5.215	7.305	7.335	6.605	6.409	6.808	8.193	6.436	6.241	5.183	5.625	5.011	6.441	4.988	5.404	5.914	5.898	5.685	5.758	5.148	5.719	5.785	6.659	4.452
7.408	8.103	8.941	9.421	10.379	9.4	7.835	9.494	4.917	5.935	7.198	5.577	5.498	5.677	7.446	5.805	6.081	4.422	4.271	5.027	5.971	4.355	5.031	5.154	5.108	5.142	6.053	5.075	4.99	5.882	6.139	4.718
8.542	9.658	9.753	10.189	11.296	9.758	8.245	10.248	5.813	7.378	8.172	6.386	7.123	6.873	8.141	6.571	6.473	5.256	4.939	5.789	6.777	5.112	5.804	5.885	6.154	5.758	6.389	6.088	5.822	6.395	6.995	5.646
8.632	8.606	9.185	9.442	10.36	8.944	8.033	9.411	4.783	6.264	6.074	5.377	5.176	5.433	6.589	5.716	5.922	4.369	4.515	4.747	5.624	3.81	4.959	4.981	4.936	4.735	5.261	5.084	5.115	5.398	6.045	4.838
9.366	9.384	10.068	10.59	11.573	10.161	9.369	10.399	5.658	7.488	7.973	6.883	6.769	6.899	8.154	6.492	6.457	5.098	5.229	5.697	6.644	4.602	5.182	5.85	5.565	5.807	6.522	5.645	5.804	6.228	6.745	5.798
9.373	7.909	8.565	8.742	10.435	8.516	7.715	9.395	5.647	6.754	7.235	5.905	5.758	6.414	7.274	6.072	6.156	5.205	5.216	5.296	5.799	4.44	5.183	5.282	5.306	5.555	6.107	5.545	5.044	6.09	6.177	5.012
8.485	8.223	8.307	8.416	9.586	7.988	7.092	8.861	5.202	6.639	7.214	5.721	5.542	6.01	7.006	5.437	5.821	4.302	4.541	4.517	5.688	4.612	5.102	5.647	4.654	5.158	5.422	5.215	4.712	5.523	5.747	5.17
9.494	10.145	9.847	9.965	10.374	9.094	8.457	9.94	5.927	6.835	7.828	6.013	6.604	6.481	7.985	6.233	6.22	5.056	4.911	5.921	6.507	5.039	5.606	5.93	5.204	5.502	6.277	5.805	5.511	6.044	6.726	5.356
8.108	8.289	7.675	9.053	9.866	8.881	6.509	8.452	5.028	5.321	6.616	4.882	5.233	6.111	6.97	4.966	5.145	4.314	4.245	5.018	5.447	4.11	5.157	4.683	4.472	5.229	4.891	4.593	4.37	5.369	5.748	5.004
10.627	7.44	7.952	8.717	9.136	8.724	7.163	8.899	5.343	6.161	7.056	5.671	5.922	6.683	7.782	5.921	5.892	4.211	4.83	4.686	5.769	4.457	4.513	4.974	5.28	5.209	5.591	5.325	5.506	6.133	6.578	5.097
8.191	5.624	5.281	6.796	6.72	5.889	5.386	6.245	3.586	4.143	4.373	3.877	3.598	4.236	4.408	3.714	3.638	2.991	3.267	3.471	3.977	3.422	3.389	3.699	3.319	3.588	3.864	3.266	3.849	4.07	3.844	3.777
8.712	6.917	7.455	7.614	8.856	6.711	6.921	7.516	4.648	5.762	6.179	5.347	4.777	5.396	6.37	5.381	5.478	4.082	4.079	4.475	5.101	3.865	4.164	4.691	4.713	4.1	5.418	4.754	4.545	5.082	5.456	4.583
8.398	6.718	6.556	6.855	7.712	7.05	5.992	7.578	4.357	5.112	5.237	4.472	4.415	4.994	5.909	4.657	4.883	3.728	4.153	3.952	5.066	3.688	3.677	4.521	4.297	4.144	4.511	4.379	4.081	4.906	4.648	4.425
8.098	6.493	6.823	6.864	8.136	7.118	6.497	7.101	4.208	4.527	5.844	4.349	4.405	4.811	5.673	4.39	4.571	3.766	4.119	4.449	5.031	4.148	3.907	4.462	3.952	4.405	5.093	3.906	4.119	4.78	4.749	4.358
8.785	7.08	7.249	7.217	8.528	7.651	6.396	7.467	5.013	5.31	5.577	4.842	4.758	5.11	6.338	5.15	5.74	4.331	4.676	4.25	5.19	4.101	4.021	4.685	4.268	4.963	5.472	4.515	4.401	4.349	5.723	4.671
6.677	5.672	6.067	5.854	7.622	5.996	5.311	6.488	3.463	4.399	4.486	4.361	3.747	3.994	5.021	4.28	4.267	3.726	3.677	3.718	4.687	3.543	3.433	3.825	4.146	4.083	4.32	3.682	3.654	4.106	3.933	3.748
8.557	7.054	7.76	7.69	8.56	7.875	6.746	8.013	4.535	5.379	6.447	5.42	5.013	5.248	6.102	5.508	5.623	4.125	4.251	4.848	5.004	4.15	4.22	4.973	4.649	4.435	5.254	4.526	4.464	4.694	5.64	4.808
9.423	7.077	8.14	7.659	8.552	7.429	6.869	8.296	4.14	5.286	5.961	5.13	4.772	5.662	6.357	5.431	5.426	4.385	4.098	4.421	4.804	4.29	4.556	4.653	4.58	4.451	6.089	4.512	4.641	4.486	5.028	5.461
9.012	6.966	8.347	8.408	8.734	7.147	6.938	8.249	4.951	5.308	6.226	5.086	4.838	5.659	6.49	5.538	5.767	4.061	4.338	4.652	5.309	4.416	4.851	4.919	4.158	5.492	5.407	4.965	4.651	4.695	5.411	5.273
9.524	7.719	7.802	8.136	9.029	8.602	7.179	8.328	4.692	6.221	6.486	5.91	4.908	5.99	6.727	5.721	5.413	4.619	4.648	4.602	5.711	4.262	4.657	4.804	5.362	4.985	6.057	4.883	5.424	4.557	5.344	5.087
8.264	6.556	6.161	6.66	7.468	6.49	6.293	6.511	3.984	4.241	5.305	3.935	4.142	4.885	5.217	5.345	5.247	3.76	3.866	3.907	4.481	3.673	3.984	4.091	4.107	4.534	5.005	4.02	3.952	4.334	5.054	4.555
8.666	6.497	6.522	7.264	7.576	6.844	6.824	6.957	3.807	5.168	5.896	4.124	4.862	4.726	5.289	4.879	4.799	3.908	3.891	4.151	5.026	3.473	4.22	4.439	4.346	4.376	5.608	4.234	4.107	4.121	5.393	4.394
8.081	5.73	6.716	6.64	6.864	5.968	6.451	6.924	3.696	4.66	4.734	3.858	4.361	4.729	5.521	4.896	5.581	4.312	3.936	3.907	4.393	3.818	4.088	4.454	3.659	4.905	5.313	4.068	3.723	4.317	5.081	4.716
9.977	6.924	7.729	7.434	8.83	7.766	6.783	7.689	5.298	5.761	6.137	5.264	5.392	5.022	6.636	5.163	5.316	4.836	4.893	4.971	5.355	4.685	4.312	5.476	4.245	4.714	5.676	4.653	4.544	4.81	5.328	4.778
10.059	8.203	8.101	8.593	9.675	8.16	7.346	8.587	4.922	5.696	6.921	5.315	5.554	5.707	7.178	6.046	5.929	4.837	4.755	5.313	5.798	4.47	4.911	5.561	5.246	5.121	5.947	4.928	4.782	5.572	5.884	5.411
9.498	7.817	7.719	8.772	8.979	8.526	7.381	8.228	4.829	6.031	6.711	4.755	5.457	5.428	6.533	5.626	5.925	4.782	5.031	5.02	5.799	4.824	4.975	5.298	4.847	5.508	5.676	4.844	5.234	5.637	5.904	5.031
9.226	7.612	8.062	8.266	9.231	7.896	6.715	7.729	5.038	5.83	5.937	5.538	5.054	5.862	6.674	5.704	5.738	5.267	4.909	5.308	5.985	4.785	5.242	5.78	4.731	5.456	5.807	5.146	5.289	5.321	6.064	6.275
8.072	6.972	7.88	7.231	8.059	6.649	6.957	7.752	4.694	5.196	5.607	4.397	4.75	4.993	5.85	5.161	5.365	4.726	4.583	4.372	5.41	3.928	4.363	4.745	4.262	5.021	5.609	4.422	4.12	4.852	4.829	5.213
8.3	6.571	6.335	6.574	7.611	6.346	6.089	7.008	4.337	4.631	5.328	4.64	4.326	5.004	5.502	4.904	5.618	3.69	4.423	4.173	5.267	4.52	4.198	4.761	4.191	4.902	5.43	4.479	4.344	4.059	5.142	4.208
7.855	6.778	6.949	7.148	7.309	6.834	6.401	6.625	4.586	4.871	6.041	4.927	4.713	5.242	5.652	4.38	5.053	5.266	4.15	4.174	4.816	4.915	4.014	4.547	4.087	4.741	5.4	3.985	4.418	4.508	5.311	4.51
9.76	8.233	8.72	8.608	9.989	8.677	8.501	8.508	5.461	6.264	6.703	5.79	5.953	5.967	7.779	6.132	6.154	4.907	5.03	5.249	6.286	4.819	5.695	5.123	5.129	5.914	5.681	5.147	5.07	5.793	6.066	5.772
9.078	7.257	7.843	7.602	9.119	8.205	6.953	7.854	5.008	5.986	6.484	5.48	5.388	5.904	7.431	5.734	5.97	4.938	4.924	5.17	5.417	4.831	4.91	5.353	5.115	5.532	6.247	5.169	5.018	5.209	5.908	4.997
8.488	7.63	7.532	7.756	8.69	7.82	7.578	8.115	4.843	5.925	6.765	5.56	5.7	5.811	6.878	6.285	6.556	4.962	5.631	5.023	5.581	4.725	5.188	5.238	5.395	5.133	5.53	5.21	4.968	5.539	6.106	5.698
8.639	7.59	7.791	7.753	9.017	7.214	6.831	8.047	4.983	5.887	5.9	5.222	5.006	5.511	6.715	5.159	6.179	5.058	4.814	4.883	5.664	4.731	4.84	4.511	4.799	5.787	5.405	4.992	4.967	4.799	5.735	5.296
7.356	5.956	5.804	6.347	6.682	5.734	5.902	6.461	4.04	4.123	4.899	4.234	4.028	4.479	4.841	4.582	4.52	4.501	4.43	3.929	4.411	3.816	4.481	4.483	4.138	4.586	5.845	3.83	4.232	4.874	4.468	4.76
8.344	7.545	7.602	8.24	9.102	7.649	6.733	8.005	5.128	5.993	6.231	5.423	5.24	5.359	7.262	5.382	5.539	4.462	4.446	4.765	5.88	4.748	5.191	5.309	4.846	5.83	5.638	5.108	5.1	5.214	5.774	4.68
9.999	8.532	8.996	8.886	10.588	9.223	8.132	8.818	5.623	6.115	7.464	5.926	6.31	6.57	7.54	6.055	6.593	5.248	5.349	5.377	6.531	4.911	5.519	5.476	5.306	5.295	6.162	5.576	5.055	5.665	6.654	5.545
8.877	7.148	7.505	7.128	9.695	7.469	7.11	8.263	4.588	5.52	6.364	5.25	5.104	5.236	6.536	5.295	5.581	5.127	4.7	5.202	5.482	4.558	4.858	4.876	4.834	5.242	6.084	4.561	4.765	4.838	5.936	5.255
8.895	7.116	7.416	7.6	8.593	7.361	7.58	7.887	4.779	5.477	6.201	5.05	5.223	5.948	6.704	5.303	5.532	4.064	4.812	4.25	5.523	4.53	4.267	4.776	4.758	5.436	5.458	4.735	4.583	5.128	5.871	4.751
7.16	5.48	5.964	6.238	6.709	6.381	5.396	5.851	4.069	4.602	4.976	4.175	4.106	4.497	5.351	4.459	4.988	4.073	4.375	4.167	4.511	3.778	4.242	5.196	3.775	5.105	4.377	3.874	4.393	4.242	4.615	4.695
8.873	7.104	8.157	7.772	8.896	7.939	7.037	7.516	4.898	6.243	6.449	5.296	5.349	5.83	7.227	5.704	5.743	4.56	4.771	5.044	5.74	4.252	5.066	4.807	4.906	5.275	5.677	5.347	5.02	5.061	5.917	5.094
