allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
9.921	9.877	10.924	11.528	12.738	10.744	10.046	10.97	5.765	7.092	8.207	6.41	6.408	6.969	8.414	6.729	7.231	5.481	5.281	5.482	6.737	4.911	5.549	6.088	6.026	6.129	6.644	5.267	5.292	6.434	6.561	5.376
8.742	9.772	9.98	10.312	12.384	10.586	9.295	10.961	5.476	6.262	7.008	5.858	5.863	5.836	7.01	6.151	6.008	4.685	5.216	5.002	6.156	4.589	5.002	5.321	5.597	5.289	5.782	5.124	4.718	6.026	6.609	5.313
9.945	10.363	11.447	12.104	12.577	11.538	10.613	11.837	6.329	6.956	8.038	6.195	6.848	7.307	7.811	6.731	6.753	5.074	5.175	5.839	6.507	4.584	5.943	5.713	5.832	5.703	6.603	5.489	5.593	6.582	6.984	6.267
10.968	11.173	11.572	11.742	13.722	12.371	10.202	11.655	5.906	7.491	8.388	6.869	6.577	7.029	8.496	7.376	7.477	5.237	5.688	5.817	6.761	5.464	5.748	6.378	5.811	6.138	6.514	5.742	6.245	6.478	7.66	6.356
10.218	10.151	10.69	10.285	12.703	10.312	8.731	10.713	5.294	6.856	7.354	6.183	6.3	6.104	7.407	6.475	6.574	4.758	5.569	5.36	6.222	5.011	4.82	5.803	5.474	5.196	5.872	5.707	5.31	5.639	6.463	5.2
10.136	8.478	9.166	9.875	11.722	9.134	8.245	9.603	5.297	5.813	7.018	5.379	5.41	5.937	6.943	5.5	5.512	4.538	4.89	4.689	5.488	4.849	4.723	5.247	4.811	4.928	5.943	4.626	4.893	4.958	6.006	4.642
9.153	8.266	8.452	8.658	9.155	8.387	6.945	8.704	4.996	5.665	6.431	5.163	4.984	5.358	6.514	5.477	5.21	3.939	4.568	4.871	5.463	4.444	4.385	4.929	4.468	4.443	5.202	4.537	5.069	5.233	5.626	4.988
9.936	7.915	8.424	9.151	10.161	7.953	6.894	8.454	5.963	6.251	7.016	5.889	5.571	6.476	7.211	6.006	6.331	4.611	4.909	5.241	6.695	4.575	4.827	4.83	5.125	5.581	5.739	5.001	5.136	5.577	6.424	5.208
9.718	8.905	9.598	9.625	11.074	9.069	9.301	9.247	5.988	7.081	7.966	6.303	6.698	7.744	8.52	6.751	6.919	5.061	5.336	6.149	7.377	5.127	5.852	5.881	5.963	6.274	6.284	5.564	5.691	6.823	7.514	5.804
10.612	8.931	9.58	9.56	11.043	9.74	8.78	9.729	5.405	6.372	7.474	6.364	6.38	5.996	7.788	6.535	6.332	4.836	5.342	4.814	5.752	4.607	5.001	5.23	5.244	5.014	6.228	5.498	5.708	5.5	6.621	4.968
9.907	8.145	8.647	8.818	9.686	8.869	7.741	8.835	4.752	5.634	6.347	5.004	5.126	5.506	6.604	5.295	5.028	3.994	3.955	4.842	5.305	3.669	4.161	4.706	4.659	4.792	4.953	4.633	4.349	4.832	5.547	4.484
7.98	7.5	8.402	8.256	9.1	8.266	7.796	7.837	4.76	5.646	5.846	5.231	4.968	5.722	6.256	5.298	4.962	4.122	4.153	4.103	4.895	4.04	3.909	4.736	4.303	4.269	5.067	4.407	4.303	4.911	5.273	4.767
7.827	7.512	7.771	8.23	8.519	7.376	7.124	7.595	3.74	4.537	5.123	4.455	4.388	4.226	5.178	4.703	4.456	3.376	3.677	3.391	4.335	3.311	3.614	3.657	3.545	4.122	4.193	3.926	3.808	4.024	4.043	3.673
6.707	6.561	6.389	6.66	6.742	6.373	5.638	7.041	3.294	3.9	4.579	3.608	4.127	4.036	4.471	4.08	4.427	3.44	3.48	3.315	4.172	3.157	3.251	3.756	3.34	3.347	3.838	3.2	3.497	3.611	3.86	3.179
9.046	8.599	8.433	8.62	9.22	8.678	8.288	8.32	4.744	5.731	5.96	5.006	5.03	5.076	5.985	5.011	5.109	4.096	4.155	4.423	5.099	4.101	4.464	4.691	4.511	4.241	5.504	4.154	4.391	5.276	5.409	4.392
