allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
17.905	13.543	15.793	15.578	18.967	13.638	12.619	16.851	7.623	9.846	11.446	8.827	8.664	10.024	12.432	9.345	9.931	6.47	7.491	7.915	9.5	6.707	7.874	8.311	8.321	8.689	9.296	8.624	9.021	10.011	12.304	8.723
17.819	15.788	17.187	18.151	21.453	15.451	13.582	18.731	9.468	13.747	14.282	11.91	11.911	12.795	15.805	11.949	11.88	8.341	9.278	10.038	12.451	8.215	10.373	10.957	10.427	11.045	11.592	10.101	11.713	12.633	13.329	10.119
17.53	17.295	18.405	18.41	22.749	15.765	13.975	19.226	9.863	14.325	15.301	12.911	12.699	13.579	17.09	12.929	13.008	9.472	10.026	11.022	13.14	9.037	11.128	12.154	11.582	12.062	12.494	11.114	12.312	13.871	14.686	11.01
15.234	12.77	13.416	14.277	15.914	13.21	11	13.837	8.04	10.67	11.744	9.401	9.195	10.05	11.951	9.087	9.301	6.968	7.617	8.099	9.459	6.927	8.096	8.665	7.786	8.701	9.592	8.848	8.782	9.852	10.788	8.793
19.631	16.631	17.883	17.728	21.44	17.047	14.311	18.593	10.856	14.719	16.084	13.19	12.939	13.827	17.204	12.719	13.017	9.252	10.131	11.056	13.107	9.259	10.892	11.88	11.225	12.095	13.315	12.051	12.428	13.425	15.017	12.281
18.108	13.335	13.934	14.516	16.319	13.926	11.365	14.74	8.694	11.226	12.143	9.602	9.805	10.159	13.059	9.708	10.21	7.132	7.522	8.242	9.712	6.967	8.16	8.858	8.479	8.682	9.69	9.473	9.374	10.259	11.09	9.802
19.943	15.797	17.063	17.535	20.4	16.423	13.678	17.531	10.727	14.006	15.599	12.59	12.128	13.161	16.499	12.606	12.77	9.129	10.118	10.398	12.416	9.149	10.655	11.014	10.675	11.375	12.786	12.058	11.877	13.26	14.419	12.786
19.063	17.197	18.265	18.594	21.766	17.34	14.434	18.792	11.794	15.619	17.406	14.044	13.733	14.178	18.001	13.224	13.93	9.547	11.024	11.598	13.661	9.984	11.625	12.681	11.81	12.839	13.729	12.992	13.209	14.582	16.032	13.488
19.429	15.277	15.985	16.527	19.469	15.827	12.793	17.315	10.656	13.68	14.938	12.162	11.649	12.855	15.665	11.455	12.193	8.722	9.552	10.179	12.271	9.051	10.151	11.463	10.422	11.341	12.405	11.457	11.211	12.955	13.817	12.172
17.996	14.104	14.762	15.736	18.161	14.371	11.91	15.619	9.605	12.326	13.452	11.013	10.651	11.282	14.367	10.496	11.202	7.725	8.473	9.149	11.005	7.957	9.109	10.086	9.22	9.922	10.694	10.491	10.141	11.388	12.402	10.538
