allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
29.394	29.132	31.305	31.668	37.917	27.633	25.678	33.069	16.399	22.327	23.668	20.182	19.934	21.721	26.228	20.948	20.727	14.763	16.226	17.535	20.897	14.249	16.926	18.621	17.477	18.241	19.669	16.629	18.258	20.005	22.251	15.916
26.867	24.781	26.225	27.164	31.763	24.658	22.022	28.11	14.832	20.001	21.449	17.881	18.288	19.142	23.45	18.488	18.489	13.13	14.239	15.21	18.273	12.767	15.204	16.199	15.245	16.18	17.497	15.139	15.826	17.36	18.974	13.955
27.387	26.084	26.858	28.08	32.652	25.564	22.895	29.265	16.308	21.348	23.523	19.241	19.081	20.26	24.319	19.579	19.543	14.17	14.938	16.134	18.95	13.567	15.18	17.169	15.801	16.74	18.608	16.375	16.537	18.166	19.925	15.249
26.641	20.541	22.642	22.932	26.109	22.212	19.52	23.496	12.376	15.476	17.312	13.637	13.713	14.667	17.804	14.061	14.78	10.053	10.487	11.239	14.17	9.65	11.359	12.165	11.669	11.852	13.054	11.677	11.154	12.874	14.095	11.051
21.077	16.939	17.798	19.108	21.045	17.896	15.812	19.127	10.591	12.743	14.037	11.447	11.22	12.061	14.883	11.817	12.102	8.298	8.982	9.737	11.576	8.2	9.567	10.117	9.731	10.051	11.295	9.905	10.287	11.31	12.178	10.238
29.628	26.666	27.786	29.097	32.991	27.257	23.318	29.132	17.726	22.662	25.46	20.076	19.651	21.454	26.237	20.107	20.769	14.573	15.919	16.704	20.589	14.772	16.395	18.356	16.88	17.86	20.047	18.045	18.196	19.709	22.224	18.338
24.16	21.628	22.441	23.43	27.785	21.709	18.77	23.267	14.539	18.88	21.017	16.749	16.402	17.905	21.759	16.697	16.911	12.12	13.014	13.736	16.799	11.685	13.707	14.902	13.362	14.561	16.118	14.446	14.288	15.49	17.399	13.73
23.758	20.415	21.589	22.535	26.169	21.325	17.983	22.863	13.179	16.595	18.825	14.825	14.821	15.76	19.224	15.263	15.67	11.017	12.083	12.554	15.096	11.125	12.172	13.642	12.579	13.13	14.713	13.331	12.798	14.371	15.508	13.168
27.315	21.555	23.041	23.778	27.667	22.392	19.03	23.921	14.681	17.917	20.626	16.256	16.314	17.625	21.567	16.543	16.851	12.287	12.934	13.637	16.838	12.055	13.563	14.881	13.502	14.384	16.234	14.26	14.143	15.446	17.434	14.349
25.15	20.038	22.074	22.56	25.863	20.924	18.203	22.76	13.763	17.044	19.415	15.361	15.104	16.253	19.84	15.587	15.778	10.766	11.889	12.668	15.608	11.063	12.374	13.76	12.285	13.213	14.889	13.007	12.743	14.471	15.637	12.785
23.345	17.295	18.396	18.768	21.693	17.805	15.184	18.69	12.332	14.497	16.674	12.975	12.953	13.831	16.73	13.079	13.406	9.432	10.268	10.949	13.113	9.65	10.798	11.742	10.857	11.06	12.746	11.486	11.259	12.586	13.624	11.401
20.217	14.773	15.141	16.003	18.814	15.357	13.073	16.376	10.42	13.177	14.415	11.649	11.463	12.338	15.02	11.656	12.266	8.488	8.964	9.839	11.586	8.431	9.266	10.357	9.458	9.881	11.021	10.331	9.497	10.587	12.219	9.542
21.713	16.295	17.319	17.434	20.8	16.837	14.612	18.233	11.1	13.84	15.555	12.433	12.332	12.988	15.956	12.294	12.871	8.889	9.663	10.032	12.315	8.952	9.862	11.196	10.27	10.336	12.201	10.822	10.668	11.483	13.017	10.866
20.381	14.819	15.347	16.027	18.419	15.664	13.179	16.743	8.929	11.246	11.988	9.888	9.556	10.335	12.823	9.972	10.357	7.214	7.914	8.279	9.995	7.133	7.936	8.879	8.347	8.776	9.813	8.575	8.939	9.297	10.335	8.977
13.264	11.092	11.324	11.926	13.244	11.628	10.043	12.214	6.975	8.172	9.859	7.537	7.536	7.865	9.623	7.765	8.225	5.788	6.404	6.435	7.809	5.959	6.413	7.132	6.4	7.167	7.368	6.911	6.596	7.197	7.96	6.794
14.121	11.128	12.568	12.737	14.591	12.216	10.999	13.089	7.767	9.095	10.094	7.865	8.139	8.561	10.485	8.342	8.891	5.923	6.885	6.883	8.289	6.129	6.565	7.253	6.795	7.256	7.674	6.802	6.844	7.142	8.204	6.694
16.556	12.855	13.748	13.956	15.883	13.134	11.573	14.111	8.558	10.119	11.706	8.983	8.7	9.231	11.749	9.388	9.716	7.147	7.43	7.83	9.214	6.903	7.972	8.065	7.428	8.181	9.017	8.017	7.59	8.562	9.374	8.353
16.983	12.718	13.482	13.575	15.507	13.586	11.686	13.733	8.059	9.86	10.977	8.7	8.782	9.243	11.276	8.984	9.167	6.481	7.301	7.526	8.76	6.72	6.792	7.947	7.327	7.728	8.759	7.621	7.775	8.308	9.159	7.731
17.716	13.49	14.28	15.169	16.816	14.057	12.957	14.575	8.17	9.858	10.84	8.737	8.954	9.315	11.398	9.366	9.922	6.981	7.624	7.873	9.064	6.8	7.423	8.113	7.693	7.774	9.141	7.725	7.552	8.665	9.795	8.377
