allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
14.425	12.196	12.685	13.603	15.504	12.959	10.595	14.009	7.626	9.517	10.192	8.486	8.385	8.562	11.462	8.317	8.744	6.511	7.208	7.464	8.722	6.315	7.257	7.939	7.471	7.719	8.2	8.262	8.354	9.028	9.569	9.141
12.809	10.966	11.729	12.16	14.253	11.895	9.51	12.971	6.842	8.359	9.616	7.283	7.606	7.699	10.009	8.053	8.228	5.742	6.202	6.487	7.939	6.096	6.595	7.122	6.852	6.983	7.343	7.484	7.246	8.149	8.708	7.952
8.912	8.065	8.129	8.999	10.287	8.334	7.042	8.362	4.678	6.332	6.658	5.557	5.397	5.275	7.185	5.754	6.068	3.818	4.978	4.907	5.593	4.361	4.961	5.077	4.785	5.326	5.704	5.411	5.476	5.957	6.593	6.047
10.209	9.581	10.222	9.954	11.763	10.36	8.413	10.228	5.496	6.896	7.946	6.435	6.491	6.497	8.152	6.138	6.892	4.578	5.462	5.695	6.697	5.14	5.584	5.908	5.747	5.742	6.017	6.313	5.948	6.683	7.231	6.497
10.653	8.376	9.004	9.456	10.899	9.002	7.578	9.824	5.686	7.286	7.906	6.584	6.088	6.643	8.372	6.393	7.118	4.863	5.643	6.047	6.642	5.181	5.595	6.368	5.702	6.107	6.403	6.488	6.559	7.108	7.287	6.643
8.782	7.902	8.2	8.541	10.063	8.405	7.244	8.726	5.732	7.561	7.826	6.674	6.196	6.58	8.468	6.311	6.984	5.173	5.452	6.248	6.818	4.869	5.866	6.175	6.009	5.859	6.457	6.643	6.142	7.309	7.319	6.855
7.598	7.299	7.332	7.671	8.701	7.897	6.191	8.125	5.227	5.997	6.785	5.896	5.821	6.087	7.755	5.916	6.671	4.704	5.411	5.432	6.104	4.781	5.544	5.617	5.363	5.847	5.639	5.823	6.038	6.576	6.519	6.031
9.139	7.955	8.9	9.071	9.881	8.276	7.101	8.671	5.964	7.426	8.547	6.532	6.551	6.953	8.752	6.461	7.221	5.249	5.798	5.862	6.98	5.152	6.148	6.305	6.235	6.295	6.642	6.714	6.75	7.403	7.889	7.047
8.395	7.922	8.758	8.726	9.848	8.774	6.755	9.268	4.913	6.092	6.971	5.617	5.359	5.835	7.573	5.531	5.982	4.173	4.766	4.914	5.695	4.285	4.964	5.153	4.868	5.398	5.462	5.248	5.437	5.855	6.531	5.919
10.955	9.653	10.268	11.194	12.312	10.894	8.762	11.854	5.659	7.074	7.893	6.687	6.159	6.472	8.315	6.128	6.952	5.163	5.351	5.516	6.306	4.862	5.735	6.097	5.7	6.112	5.969	6.388	6.05	6.685	7.011	6.486
10.062	8.349	9.24	9.6	11.005	9.341	7.253	9.901	4.697	6.763	6.885	5.903	5.661	6.221	7.725	6.117	6.081	4.402	4.897	5.346	5.64	4.716	5.2	5.399	4.901	4.746	5.348	5.297	5.403	5.987	6.227	5.606
11.894	9.642	10.456	10.36	11.937	10.235	8.575	11.044	5.658	6.858	7.416	5.802	6.019	6.565	7.95	6.441	6.528	4.502	5.494	5.492	6.153	4.658	5.549	5.707	5.354	5.693	5.853	5.982	5.785	6.405	7.163	6.354
10.186	9.679	10.434	10.227	12.156	10	8.533	10.965	5.458	7.217	7.807	6.273	6.1	6.67	8.404	6.159	6.653	4.825	5.238	5.689	6.39	4.763	5.478	6.181	5.428	5.992	5.82	6.348	6.221	6.721	6.859	6.536
8.541	8.719	9.247	9.273	10.248	9.16	7.764	9.694	4.918	6.368	6.997	5.647	5.501	6.115	7.409	5.868	6.228	4.645	4.842	5.094	5.45	4.46	4.91	5.3	4.76	5.358	5.416	5.507	5.5	5.871	6.348	5.798
9.618	6.492	7.432	7.422	9.261	7.588	6.15	7.966	4.612	5.343	6.019	5.135	5.15	4.926	6.576	5.031	5.504	4.102	4.572	4.561	5.295	4.213	4.804	5.02	4.764	4.861	4.983	5.285	5.139	5.343	5.695	5.509
7.447	6.079	6.989	6.933	8.931	6.879	5.689	7.663	4.346	5.275	6.02	4.832	4.97	5.047	6.383	5.092	5.37	4.21	4.07	4.327	5.219	3.879	4.717	4.824	4.137	4.675	4.831	4.984	4.653	5.391	5.582	5.27
9.674	9.438	10.183	10.341	11.421	9.689	8.209	10.644	5.451	6.88	8.134	5.947	6.324	6.687	8.37	6.366	6.794	5.096	5.165	5.808	6.199	5.025	5.443	5.878	5.673	6.103	6.106	5.887	5.956	6.175	6.744	5.963
9.988	8.066	8.765	8.601	10.113	8.106	6.597	8.786	5.173	6.979	7.211	5.693	5.604	5.783	7.862	5.524	6.346	4.844	4.989	5.277	6.049	5.115	5.169	5.548	5.519	5.969	5.83	5.776	6.251	6.686	6.723	6.214
9.022	7.328	7.729	7.744	8.63	7.999	6.204	7.729	4.883	6.339	6.872	5.673	5.74	6.066	7.32	5.825	6.196	5.006	4.766	5.198	6.419	4.674	5.526	5.469	5.703	5.786	5.694	5.619	5.599	6.187	6.501	5.697
10.237	10.292	10.598	11.019	12.639	10.825	9.189	11.414	5.776	7.783	8.815	6.287	6.787	7.063	9.137	7.322	7.399	5.426	6.325	5.989	6.879	5.386	6.001	6.426	6.173	6.703	6.412	7.049	6.765	6.869	7.685	7.341
8.083	6.4	6.556	6.64	7.359	7.133	5.478	7.084	4.262	5.255	6.098	4.646	4.813	4.653	5.951	5.274	5.605	4.157	4.5	4.816	4.818	4.088	4.836	4.995	4.32	4.853	4.866	4.524	4.52	5.379	5.431	5.121
