Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
1.3750	1.3125	1.3958	1.3958	1.3750	1.4167	1.3750	1.3125	1.3958	1.3958	1.3750	1.3750	1.3750	1.3958	1.3125	1.3125	1.3750	1.3958	1.3958	1.3542	1.3333	1.3750	1.3542	1.3750	1.3750	1.3750	1.3750	1.3750	1.3750	1.3750	1.3750	1.3125	1.3685	0.0287	1.3750	  5	1.3789	0.0164
1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6667	1.6458	1.6667	1.6250	1.6667	1.6250	1.6250	1.5833	1.6250	1.6250	1.6250	1.6250	1.6875	1.6250	1.6667	1.6250	1.6315	0.0194	1.6250	  7	1.6250	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Median values [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2292	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2493	0.0037	0.2500	  1	0.2500	0.0000
0.4167	0.3958	0.4167	0.4167	0.3958	0.4167	0.4167	0.4167	0.3958	0.4167	0.4167	0.4167	0.3958	0.4167	0.3958	0.4167	0.3958	0.3958	0.4167	0.4167	0.3958	0.3958	0.4167	0.4167	0.4167	0.3958	0.3958	0.3958	0.3958	0.4167	0.4167	0.3958	0.4076	0.0105	0.4167	 14	0.4167	0.0000
0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5208	0.5625	0.5625	0.5625	0.5625	0.5625	0.5208	0.5625	0.5833	0.5625	0.5417	0.5833	0.5417	0.5625	0.5417	0.5417	0.5625	0.5417	0.5417	0.5625	0.5625	0.5417	0.5625	0.5625	0.5833	0.5417	0.5566	0.0152	0.5625	 13	0.5625	0.0000
0.7083	0.7292	0.6875	0.6875	0.7083	0.7083	0.7292	0.6875	0.7292	0.6875	0.6875	0.6875	0.7292	0.7083	0.7083	0.6875	0.7083	0.7292	0.6875	0.7083	0.7292	0.7292	0.6875	0.7292	0.7292	0.7292	0.7292	0.7292	0.6875	0.7292	0.7292	0.7083	0.7109	0.0181	0.7083	  0	0.7109	0.0181
0.8958	0.8333	0.8750	0.8542	0.8958	0.8750	0.8958	0.9167	0.8958	0.8958	0.8542	0.8750	0.8958	0.8958	0.8958	0.8958	0.8542	0.8542	0.8542	0.8750	0.8958	0.8958	0.8750	0.9167	0.8750	0.8750	0.8542	0.8750	0.8958	0.8333	0.8750	0.8333	0.8776	0.0229	0.8750	  0	0.8776	0.0229
