CH 0:
Tau 4: mean=135.489, sigma=5.41
Tau 5: mean=135.465, sigma=4.32
Tau 6: mean=135.807, sigma=3.64
Tau 7: mean=135.749, sigma=3.52
Channel 15: mean=135.51, sigma=9.48
Number of error or empty events: 0
CH 16:
Tau 0: mean=175.05, sigma=26.97
Tau 1: mean=174.972, sigma=12.84
Tau 2: mean=174.583, sigma=8.25
Tau 3: mean=174.381, sigma=6.29
Tau 4: mean=174.742, sigma=11.90
Tau 5: mean=174.478, sigma=4.02
Tau 6: mean=174.702, sigma=3.45
Tau 7: mean=174.683, sigma=3.31
Channel 16: mean=174.70, sigma=9.63
Number of error or empty events: 0
CH 17:
Tau 0: mean=196.166, sigma=25.22
Tau 1: mean=196.101, sigma=11.47
Tau 2: mean=195.313, sigma=7.16
Tau 3: mean=195.126, sigma=5.57
Tau 4: mean=195.528, sigma=4.71
Tau 5: mean=195.199, sigma=3.57
Tau 6: mean=195.17, sigma=3.03
Tau 7: mean=195.313, sigma=2.85
Channel 17: mean=195.49, sigma=7.95
Number of error or empty events: 0
CH 18:
Tau 0: mean=170.893, sigma=25.85
Tau 1: mean=170.779, sigma=12.00
Tau 2: mean=170.423, sigma=7.63
Tau 3: mean=170.085, sigma=5.91
Tau 4: mean=170.23, sigma=4.92
Tau 5: mean=170.083, sigma=3.79
Tau 6: mean=170.316, sigma=3.12
Tau 7: mean=170.06, sigma=2.96
Channel 18: mean=170.36, sigma=8.27
Number of error or empty events: 0
CH 19:
Tau 0: mean=154.359, sigma=26.72
Tau 1: mean=153.82, sigma=12.84
Tau 2: mean=153.577, sigma=8.23
Tau 3: mean=153.251, sigma=6.15
Tau 4: mean=153.72, sigma=5.02
Tau 5: mean=152.969, sigma=4.09
Tau 6: mean=153.215, sigma=3.39
Tau 7: mean=153.213, sigma=2.94
Channel 19: mean=153.52, sigma=8.67
Number of error or empty events: 0
CH 20:
Tau 0: mean=159.221, sigma=24.82
Tau 1: mean=158.995, sigma=11.59
Tau 2: mean=158.727, sigma=7.53
Tau 3: mean=158.159, sigma=5.93
Tau 4: mean=158.557, sigma=4.89
Tau 5: mean=158.195, sigma=4.10
Tau 6: mean=158.248, sigma=3.23
Tau 7: mean=158.38, sigma=3.10
Channel 20: mean=158.56, sigma=8.15
Number of error or empty events: 0
CH 21:
Tau 0: mean=116.26, sigma=23.85
Tau 1: mean=115.321, sigma=11.55
Tau 2: mean=115.195, sigma=7.65
Tau 3: mean=114.736, sigma=5.80
Tau 4: mean=114.752, sigma=4.71
Tau 5: mean=114.398, sigma=3.84
Tau 6: mean=114.587, sigma=3.18
Tau 7: mean=114.575, sigma=2.74
Channel 21: mean=114.98, sigma=7.92
Number of error or empty events: 0
CH 22:
Tau 0: mean=187.711, sigma=26.51
Tau 1: mean=187.464, sigma=12.69
Tau 2: mean=187.067, sigma=8.37
Tau 3: mean=186.584, sigma=6.35
Tau 4: mean=186.879, sigma=5.21
Tau 5: mean=186.638, sigma=3.86
Tau 6: mean=186.706, sigma=3.18
Tau 7: mean=186.903, sigma=3.01
Channel 22: mean=186.99, sigma=8.65
Number of error or empty events: 0
CH 23:
Tau 0: mean=146.638, sigma=28.32
Tau 1: mean=146.497, sigma=13.48
Tau 2: mean=145.743, sigma=8.73
Tau 3: mean=145.548, sigma=6.62
Tau 4: mean=145.909, sigma=5.36
Tau 5: mean=145.541, sigma=4.17
Tau 6: mean=145.706, sigma=3.62
Tau 7: mean=145.637, sigma=3.31
Channel 23: mean=145.90, sigma=9.20
Number of error or empty events: 0
CH 24:
Tau 0: mean=124.117, sigma=24.31
Tau 1: mean=123.426, sigma=11.54
Tau 2: mean=123.095, sigma=7.43
Tau 3: mean=122.737, sigma=5.45
Tau 4: mean=123.031, sigma=4.57
Tau 5: mean=122.767, sigma=3.51
Tau 6: mean=122.547, sigma=2.91
Tau 7: mean=122.368, sigma=2.55
Channel 24: mean=123.01, sigma=7.78
Number of error or empty events: 0
CH 25:
Tau 0: mean=119.706, sigma=25.39
Tau 1: mean=118.739, sigma=11.53
Tau 2: mean=118.342, sigma=7.37
Tau 3: mean=118.207, sigma=5.29
Tau 4: mean=118.554, sigma=4.60
Tau 5: mean=118.159, sigma=3.48
Tau 6: mean=118.024, sigma=2.94
Tau 7: mean=118.221, sigma=2.61
Channel 25: mean=118.49, sigma=7.90
Number of error or empty events: 0
CH 26:
Tau 0: mean=149.334, sigma=25.18
Tau 1: mean=148.72, sigma=11.18
Tau 2: mean=148.6, sigma=6.78
Tau 3: mean=148.284, sigma=4.88
Tau 4: mean=148.547, sigma=4.04
