GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.218	159.310	0.9977	1.322	1.221	158.482	0.9997	0.476	1.496	150.903	0.9997	4.800	1.497	150.062	0.9997	5.201
 0	 1	0.998	160.610	0.9999	0.248	0.992	160.790	0.9993	0.580	1.239	153.536	0.9970	2.887	1.227	153.902	0.9971	2.976
 0	 2	0.822	163.535	0.9997	0.323	0.820	163.605	0.9999	0.200	1.056	152.409	0.9967	1.861	1.050	152.587	0.9969	1.813
 0	 3	0.872	155.110	0.9996	0.390	0.873	155.093	0.9995	0.418	1.007	150.475	0.9979	0.745	1.009	150.409	0.9980	0.691
 0	 4	0.833	154.690	0.9999	0.206	0.817	155.811	0.9997	0.297	0.961	149.728	0.9973	0.803	0.956	149.948	0.9974	0.964
 0	 5	0.869	149.680	0.9978	0.904	0.876	149.139	0.9971	1.063	0.946	148.172	0.9980	1.468	0.947	148.148	0.9980	1.690
 0	 6	0.795	153.055	0.9990	0.576	0.778	154.452	0.9994	0.409	0.906	148.344	0.9978	0.728	0.909	148.307	0.9979	0.952
 0	 7	0.785	151.920	0.9998	0.216	0.784	152.028	0.9999	0.138	0.890	147.559	0.9976	1.103	0.890	147.563	0.9976	1.064
 1	 0	1.326	152.530	0.9920	2.658	1.364	149.172	0.9934	2.496	1.729	140.032	0.9995	6.538	1.721	139.736	0.9995	6.301
 1	 1	1.061	151.330	0.9994	0.600	1.071	150.516	0.9993	0.626	1.323	143.662	0.9975	3.087	1.319	143.863	0.9976	3.136
 1	 2	0.889	153.035	0.9992	0.576	0.894	152.671	0.9997	0.327	1.129	141.993	0.9968	2.051	1.131	141.801	0.9968	1.959
 1	 3	0.904	147.080	0.9997	0.343	0.914	146.377	0.9999	0.242	1.086	139.673	0.9981	1.200	1.085	139.739	0.9982	1.013
 1	 4	0.877	144.900	0.9995	0.430	0.870	145.406	0.9991	0.589	1.034	138.378	0.9973	1.055	1.032	138.478	0.9974	1.305
 1	 5	0.902	140.020	0.9965	1.202	0.902	140.020	0.9965	1.202	1.009	136.689	0.9981	1.476	1.009	136.685	0.9981	1.463
 1	 6	0.844	141.775	0.9987	0.693	0.846	141.546	0.9985	0.739	0.970	136.487	0.9980	0.843	0.974	136.331	0.9980	0.884
 1	 7	0.821	140.715	0.9992	0.526	0.819	140.902	0.9993	0.478	0.938	135.522	0.9975	1.101	0.936	135.656	0.9976	1.088
 2	 0	1.343	187.435	0.9939	2.360	1.311	188.806	0.9961	1.824	1.776	172.323	0.9995	7.001	1.792	170.555	0.9996	5.923
 2	 1	1.089	185.215	0.9998	0.369	1.110	183.716	0.9994	0.618	1.427	172.771	0.9970	4.137	1.428	172.758	0.9968	4.355
 2	 2	0.964	181.705	0.9989	0.706	0.975	180.894	0.9997	0.386	1.221	170.458	0.9962	2.227	1.222	170.333	0.9965	2.044
 2	 3	0.998	172.945	0.9996	0.428	1.011	172.010	0.9998	0.301	1.137	169.006	0.9980	2.209	1.137	169.064	0.9981	2.166
 2	 4	0.957	171.300	0.9986	0.802	0.953	171.682	0.9983	0.877	1.066	168.159	0.9974	1.915	1.066	168.215	0.9975	2.027
 2	 5	0.969	166.745	0.9975	1.090	0.970	166.646	0.9973	1.127	1.039	166.010	0.9981	2.439	1.042	165.892	0.9980	2.472
 2	 6	0.887	169.240	0.9989	0.661	0.888	169.097	0.9985	0.773	0.981	165.709	0.9979	1.558	0.985	165.600	0.9980	1.939
 2	 7	0.877	166.890	0.9998	0.281	0.882	166.572	0.9997	0.323	0.939	165.172	0.9978	1.524	0.943	165.036	0.9978	1.498
 3	 0	1.277	173.245	0.9879	3.163	1.259	173.311	0.9992	0.804	1.695	158.420	0.9994	7.499	1.701	157.016	0.9996	5.214
 3	 1	1.085	166.565	0.9997	0.414	1.111	164.384	0.9993	0.668	1.339	159.556	0.9971	3.175	1.328	159.889	0.9972	3.705
 3	 2	0.888	169.305	0.9990	0.633	0.895	168.847	0.9986	0.751	1.152	157.226	0.9964	2.576	1.148	157.458	0.9966	2.446
 3	 3	0.923	161.325	0.9995	0.452	0.920	161.579	0.9997	0.375	1.076	155.772	0.9981	1.546	1.076	155.774	0.9981	1.535
 3	 4	0.890	160.090	0.9999	0.212	0.885	160.507	0.9999	0.230	1.024	154.614	0.9975	0.949	1.023	154.724	0.9976	1.008
 3	 5	0.912	155.300	0.9984	0.817	0.921	154.483	0.9972	1.094	1.003	152.673	0.9981	1.548	1.004	152.560	0.9981	1.853
 3	 6	0.852	157.120	0.9986	0.707	0.849	157.333	0.9984	0.765	0.966	152.219	0.9980	0.830	0.967	152.192	0.9980	0.912
 3	 7	0.859	154.050	0.9995	0.449	0.853	154.443	0.9996	0.382	0.951	151.021	0.9974	1.293	0.947	151.102	0.9975	1.231
 4	 0	1.222	178.595	0.9762	4.268	1.216	177.679	0.9905	2.660	1.699	160.149	0.9993	7.821	1.730	157.415	0.9995	6.853
 4	 1	1.045	169.830	0.9993	0.611	1.052	169.237	0.9995	0.533	1.310	161.619	0.9975	3.977	1.308	161.632	0.9969	4.118
 4	 2	0.838	172.775	0.9730	3.126	0.870	170.558	0.9856	2.350	1.110	158.730	0.9965	4.545	1.113	158.784	0.9968	3.381
 4	 3	0.910	163.235	0.9984	0.807	0.915	163.152	0.9994	0.493	1.081	156.562	0.9980	1.825	1.074	157.067	0.9981	2.137
 4	 4	0.867	162.750	0.9992	0.541	0.859	163.540	0.9999	0.202	1.030	155.711	0.9974	1.429	1.022	156.287	0.9976	1.051
 4	 5	0.916	156.460	0.9990	0.658	0.919	156.152	0.9989	0.672	1.006	154.275	0.9982	1.195	1.005	154.289	0.9982	1.292
 4	 6	0.848	158.200	0.9988	0.670	0.847	158.316	0.9988	0.658	0.970	153.309	0.9978	0.953	0.973	153.270	0.9978	1.074
 4	 7	0.826	157.575	0.9998	0.238	0.826	157.546	1.0000	0.108	0.943	152.511	0.9976	1.136	0.943	152.520	0.9976	1.105
 5	 0	1.359	172.165	0.9908	2.930	1.332	173.459	0.9909	2.851	1.777	158.141	0.9994	8.156	1.797	156.340	0.9995	6.988
 5	 1	1.127	169.090	0.9998	0.357	1.158	166.844	0.9998	0.374	1.428	159.666	0.9968	3.919	1.434	159.546	0.9967	3.955
 5	 2	0.957	168.680	0.9996	0.445	0.976	167.040	1.0000	0.049	1.222	157.398	0.9961	2.095	1.217	157.451	0.9963	1.872
 5	 3	0.949	163.255	0.9996	0.406	0.953	163.166	1.0000	0.094	1.110	157.050	0.9982	1.933	1.111	157.080	0.9982	2.055
 5	 4	0.921	161.025	0.9999	0.158	0.907	162.312	0.9999	0.165	1.054	155.732	0.9979	1.163	1.053	155.880	0.9980	1.366
 5	 5	0.931	156.675	0.9993	0.547	0.943	155.793	0.9987	0.759	1.019	153.861	0.9984	1.314	1.014	154.124	0.9985	1.504
 5	 6	0.870	157.890	0.9977	0.938	0.875	157.503	0.9977	0.934	0.973	153.217	0.9979	1.047	0.974	153.235	0.9979	1.066
