0.3254990398 0.7190081324 0.8122655665 1.3554380251 1.5458651736 0.8772924637 0.9621735359 1.5387996309 0.6920244810 1.4051483413 1.0260356055 1.6116344449 0.4073790526 1.7820179181 0.7601015778 0.4387381371 0.8773372730 0.9976271588 1.4450034814 0.8023929058 1.4223033623 1.3530608370 1.3423278638 1.0585254545 1.0749496993 1.0431121388 0.6636146945 0.5597356617 0.6968196291 1.2541691599 0.9335729374 1.3987045604
1.1163666666 1.5194403838 1.5561482276 1.3852103457 0.4874240364 1.8889851682 1.5699507894 1.2275288176 1.5102124340 1.0207533673 0.7322159486 1.1399510223 1.7646090515 2.1364760120 1.5631929441 2.2001825210 1.6381557786 1.4522692786 1.3952655002 1.3271968106 1.1047834849 2.0712200071 2.1490541496 1.0973437186 1.2051082340 1.2165285900 1.4640362446 1.2802660838 1.6737869644 0.8831927596 1.7472470494 1.6156037867
2.2146330248 1.4077071175 1.9376458546 2.3386186961 2.5393115587 2.6183304337 2.7868970864 2.6682927931 1.4313006855 2.5705621963 3.0762230668 2.5560761304 2.1120876881 2.8257428735 1.9463352273 2.0667566238 2.9086655620 2.0427678161 3.6773162167 2.0904051098 2.1698921871 2.9530639849 1.7551998188 2.2726401665 1.7725405167 2.3808195663 2.3523094384 2.2258252662 2.6723324477 2.7876377676 2.6884029035 2.5406106739
2.8978924945 2.5629924585 2.9247713129 3.2336679648 3.5528436466 2.3852604702 2.9608989236 3.0776887528 3.0511482907 2.7097129010 4.1772459475 3.2798369484 3.7911484517 2.8358851325 3.9584096479 3.0298002549 3.1101153569 3.0506487217 3.6074357550 3.0729994992 3.1614980965 3.3080004170 2.1298375275 3.2941732990 3.2539920021 3.2402648553 3.2030113992 3.4168393656 3.1722304629 3.1977467277 3.1865266634 3.4007523136
3.5221112086 3.4584900417 4.0716923612 4.0701283181 3.3917363294 4.3130209323 3.8895563759 3.9069511857 3.7835489909 4.8654787500 3.4004594593 4.5653993953 4.0065097233 4.8780257040 4.1083424970 4.0990157251 3.5344767445 4.1376628451 2.6997007299 3.7189542053 3.9856344708 3.7879023084 3.1200580051 5.0001669392 3.6925758786 3.8447129566 3.8707616062 3.4363805691 3.4123302510 4.2097099623 3.6758624068 4.0063874672
4.6426402371 4.4670647436 4.5290429085 5.0074140146 3.9604839053 4.3943101894 4.5286443081 4.7274137926 5.0228427663 5.5966285827 5.0632025657 4.5363720743 4.9817910385 4.7050327070 5.0741946178 5.0835160528 5.0544288356 4.5360064221 4.4765076237 4.8833172515 5.0732766419 4.7005371479 3.9188445130 5.9867447022 4.6922041338 4.8809695810 4.7427010267 4.8055877437 5.0355430531 4.7449079314 4.3740817999 4.7926870898
4.9800177696 5.7950076529 6.0709907025 5.9660113735 5.5074731634 5.8795646507 5.2846025945 5.4412119072 5.8671029345 5.8118508070 5.9995546890 5.3690348113 6.0102328481 6.2230084426 5.1211097902 6.3469082277 6.6002430398 5.2847253835 6.4589501049 5.8203318667 5.7303221011 5.9704191222 6.0880513466 5.6837789177 5.2066568277 5.9911894797 5.6545627458 5.7852007764 5.5474756230 5.5101717165 5.2816773911 5.6179372121
6.8673164517 6.2256415886 6.3516599883 6.3758367362 6.8003497410 6.2055392987 6.7695777676 6.1557371193 6.3245202611 6.8568336418 7.0358864658 6.6784179633 6.6797337555 6.8149679758 5.8815134796 6.2702842258 6.0773425367 7.0478629714 6.6093951315 6.5889191444 5.7960561747 5.9896759566 6.7737276598 6.3583098269 7.2030338824 6.9077714799 6.5676284164 6.0597343389 6.2508517308 6.3816598771 6.4083884464 6.3207303731
7.7226667838 7.5470285843 7.2129884150 7.2663373188 6.8954915735 7.1436031843 7.1291170552 7.4398041190 7.2504287085 7.4070295973 7.1741770689 7.2807114840 7.8248960552 7.1111740096 7.4044705853 6.8834751663 7.3588659247 7.4088338254 7.7539846652 7.6485074359 7.5352731481 7.7730422979 7.7114145455 6.7594415925 6.8182525754 7.3614770894 7.2580881740 7.3750495241 6.8342862653 6.9472633422 7.1906643543 7.8048935198
8.0311602199 8.0255004773 8.1221291899 8.2182089481 7.9713361353 8.3180459242 8.4813206309 8.0483588744 8.2676909935 8.6171845256 7.6781759659 8.9255041675 7.9798286911 8.1030338644 8.1670333237 8.1016290060 8.9760428169 8.6981584672 8.6591242774 8.0688386128 7.7800079912 8.2074691036 9.2119996839 8.5724490963 7.7571665260 7.6400728946 7.8713324718 8.2500133244 8.2247958246 7.6957061263 7.7368521382 8.4720187743
