INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	13.109	10.422	10.677	8.501
 0	 1	8.722	7.548	7.025	6.106
 0	 2	7.540	6.719	5.870	5.247
 0	 3	5.792	5.642	5.015	4.880
 0	 4	5.458	5.429	4.729	4.643
 0	 5	4.772	4.673	4.382	4.322
 0	 6	4.878	4.914	4.281	4.208
 0	 7	4.973	4.874	4.387	4.292
 1	 0	7.756	6.882	5.947	5.456
 1	 1	6.429	6.162	5.156	5.004
 1	 2	6.353	6.253	5.003	4.942
 1	 3	5.828	5.638	4.851	4.749
 1	 4	5.873	5.766	4.980	4.861
 1	 5	5.487	5.431	4.907	4.856
 1	 6	5.630	5.434	4.896	4.724
 1	 7	6.210	6.196	5.434	5.421
 2	 0	5.515	5.441	4.170	3.979
 2	 1	5.625	5.306	4.293	4.125
 2	 2	5.565	5.456	4.394	4.352
 2	 3	5.220	5.051	4.583	4.495
 2	 4	4.971	4.899	4.463	4.376
 2	 5	4.699	4.673	4.380	4.349
 2	 6	5.407	5.396	4.888	4.868
 2	 7	5.306	5.049	4.961	4.721
 3	 0	6.450	6.303	4.861	4.666
 3	 1	6.016	5.771	4.875	4.827
 3	 2	6.294	6.098	4.850	4.750
 3	 3	5.806	5.721	4.981	4.891
 3	 4	5.720	5.629	4.973	4.873
 3	 5	5.007	4.859	4.549	4.459
 3	 6	5.398	5.345	4.762	4.696
 3	 7	5.474	5.375	4.947	4.841
 4	 0	11.476	7.922	8.252	5.565
 4	 1	8.369	6.712	6.674	5.400
 4	 2	8.475	6.865	6.401	5.363
 4	 3	6.958	5.825	5.854	4.960
 4	 4	6.774	5.784	5.701	4.863
 4	 5	5.918	5.390	5.390	4.933
 4	 6	5.932	5.513	5.187	4.803
 4	 7	5.880	5.518	5.153	4.837
 5	 0	7.629	7.195	5.838	5.333
 5	 1	6.396	5.991	5.049	4.836
 5	 2	5.840	5.564	4.574	4.460
 5	 3	5.715	5.588	4.884	4.791
 5	 4	5.330	5.390	4.659	4.640
 5	 5	5.004	4.814	4.569	4.479
 5	 6	5.320	5.206	4.754	4.677
 5	 7	5.448	5.431	4.899	4.880
 6	 0	6.929	6.672	5.438	5.116
 6	 1	6.050	5.899	4.811	4.710
 6	 2	6.501	6.293	5.003	4.939
 6	 3	5.698	5.587	4.855	4.788
 6	 4	5.675	5.514	4.894	4.739
 6	 5	5.623	5.484	4.965	4.894
 6	 6	5.999	5.777	5.121	4.929
 6	 7	6.338	6.200	5.559	5.384
 7	 0	7.691	6.647	5.943	5.111
 7	 1	6.794	6.615	5.236	5.175
 7	 2	6.648	6.451	4.957	4.903
 7	 3	5.777	5.684	4.836	4.765
 7	 4	5.560	5.492	4.783	4.659
 7	 5	5.394	5.265	4.785	4.678
 7	 6	5.576	5.290	4.769	4.590
 7	 7	5.779	5.625	5.186	5.060
 8	 0	8.427	7.475	6.363	5.501
 8	 1	6.448	6.076	5.246	4.967
 8	 2	6.935	6.391	5.073	4.710
 8	 3	5.661	5.423	4.850	4.645
 8	 4	5.491	5.481	4.658	4.633
 8	 5	5.086	4.998	4.626	4.545
 8	 6	5.721	5.702	4.888	4.894
 8	 7	5.179	5.081	4.694	4.580
 9	 0	6.704	6.357	5.272	5.068
 9	 1	6.137	6.028	4.651	4.628
 9	 2	6.507	6.341	4.968	4.869
 9	 3	5.732	5.792	4.780	4.776
 9	 4	5.602	5.575	4.650	4.593
 9	 5	5.127	4.964	4.593	4.472
 9	 6	5.272	5.067	4.623	4.432
 9	 7	5.773	5.653	5.112	4.982
10	 0	9.278	6.868	7.063	5.287
10	 1	6.989	6.304	5.463	5.011
10	 2	6.837	6.691	5.013	4.865
10	 3	5.534	5.428	4.592	4.515
10	 4	5.327	5.207	4.420	4.331
10	 5	5.003	4.955	4.558	4.514
10	 6	5.628	5.483	4.945	4.809
10	 7	5.514	5.440	4.892	4.826
11	 0	6.488	6.246	4.961	4.704
11	 1	5.961	5.830	4.489	4.406
11	 2	6.003	5.975	4.474	4.459
11	 3	5.229	5.144	4.375	4.290
11	 4	5.260	5.181	4.611	4.563
11	 5	4.925	4.687	4.598	4.481
11	 6	5.131	5.014	4.783	4.696
11	 7	5.220	5.048	4.939	4.772
12	 0	7.495	6.666	5.663	5.006
12	 1	6.250	5.869	4.932	4.717
12	 2	6.422	6.146	4.902	4.761
12	 3	5.466	5.451	4.706	4.683
12	 4	5.611	5.627	4.798	4.738
12	 5	5.095	4.967	4.736	4.627
12	 6	6.256	5.963	5.491	5.252
12	 7	5.855	5.758	5.195	5.162
13	 0	6.768	6.652	5.195	4.924
13	 1	6.505	6.385	5.254	5.131
13	 2	7.054	6.880	5.337	5.298
13	 3	5.974	5.922	5.100	5.067
13	 4	5.952	5.868	5.154	5.066
13	 5	5.559	5.523	4.983	4.994
13	 6	6.011	5.968	5.318	5.280
13	 7	6.096	6.000	5.420	5.338
14	 0	9.301	8.516	7.071	6.246
14	 1	8.444	7.831	6.914	6.632
14	 2	8.552	8.032	6.878	6.608
14	 3	6.453	6.317	5.613	5.446
14	 4	6.418	6.274	5.418	5.252
14	 5	5.362	5.252	4.868	4.794
14	 6	5.619	5.542	4.930	4.849
14	 7	5.733	5.665	5.304	5.205
15	 0	16.904	14.810	12.691	10.007
15	 1	13.453	11.534	10.935	9.403
15	 2	13.751	11.499	10.292	8.764
15	 3	9.607	8.960	8.173	7.737
15	 4	8.276	7.238	7.050	6.193
15	 5	6.934	6.539	6.085	5.808
15	 6	6.597	6.468	5.800	5.640
15	 7	6.300	6.019	5.646	5.429
16	 0	18.228	16.213	13.018	10.364
16	 1	  NaN	11.496	13.941	8.731
16	 2	11.651	10.699	8.651	8.087
16	 3	8.501	8.052	7.281	7.012
16	 4	24.149	6.825	21.690	6.153
16	 5	6.187	6.089	5.829	5.811
16	 6	6.399	6.316	5.795	5.726
16	 7	6.769	6.645	6.215	6.131
17	 0	11.516	9.754	8.624	7.101
17	 1	7.439	6.753	6.105	5.540
17	 2	7.407	6.927	5.463	5.216
17	 3	6.069	5.963	5.175	5.129
17	 4	5.982	5.822	5.034	4.821
17	 5	5.441	5.264	4.686	4.525
17	 6	5.886	5.723	4.903	4.762
17	 7	6.274	6.115	5.309	5.200
18	 0	9.345	8.163	6.801	5.856
18	 1	7.034	6.423	5.546	5.128
18	 2	7.311	7.121	5.432	5.344
18	 3	5.838	5.734	5.087	4.960
18	 4	5.744	5.622	5.243	5.104
18	 5	5.006	4.940	4.830	4.804
18	 6	5.126	4.958	4.822	4.658
18	 7	5.499	5.360	5.295	5.157
19	 0	7.391	7.350	5.776	5.456
19	 1	7.268	7.003	5.561	5.332
19	 2	7.075	6.872	5.436	5.234
19	 3	5.985	5.746	5.293	5.116
19	 4	5.431	5.239	5.041	4.930
19	 5	5.229	5.176	5.290	5.225
19	 6	5.798	5.531	5.317	5.073
19	 7	5.645	5.525	5.256	5.152
20	 0	10.955	9.026	7.830	6.252
20	 1	8.309	7.550	6.648	6.108
