# Peak times (rows) and Channels (cols)
# ch0	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16	ch17	ch18	ch19	ch20	ch21	ch22	ch23	ch24	ch25	ch26	ch27	ch28	ch29	ch30	ch31
1.157942857142857038e-02	1.145379870129870255e-02	1.145302597402597308e-02	1.136527272727272560e-02	1.145804545454545513e-02	1.136027922077922046e-02	1.141124675324675132e-02	1.141431168831169053e-02	1.131274025974025876e-02	1.135029220779221019e-02	1.132442207792208090e-02	1.130667532467532523e-02	1.126316883116883043e-02	1.132735064935064609e-02	1.124152597402597320e-02	1.127718181818181814e-02	1.134618831168831068e-02	1.139646753246753227e-02	1.132372727272727003e-02	1.133393506493506238e-02	1.138268831168831076e-02	1.140188311688311237e-02	1.140569480519480761e-02	1.141546753246753219e-02	1.146044805194805158e-02	1.148420779220779391e-02	1.145940259740259662e-02	1.142559740259740247e-02	1.148770779220779220e-02	1.148533766233766212e-02	1.149996103896103877e-02	1.146098701298701311e-02
1.106198051948052014e-02	1.098925324675324548e-02	1.099118831168831127e-02	1.088855194805194750e-02	1.096474025974025941e-02	1.091251298701298618e-02	1.094402597402597578e-02	1.096622727272726985e-02	1.087240259740259764e-02	1.090769480519480569e-02	1.087627922077922388e-02	1.090553246753246837e-02	1.084081168831168597e-02	1.088872727272727041e-02	1.083916233766234020e-02	1.086558441558441689e-02	1.087594155844155523e-02	1.092954545454545567e-02	1.087051298701298581e-02	1.089713636363636579e-02	1.092151948051948117e-02	1.091883116883116990e-02	1.095996103896104169e-02	1.094409090909090852e-02	1.099133766233766595e-02	1.097537662337662312e-02	1.098368831168831071e-02	1.093787012987012912e-02	1.096829870129870099e-02	1.099032467532467562e-02	1.100014935064935230e-02	1.089975324675324792e-02
1.078970779220779323e-02	1.071531818181818176e-02	1.072546103896103789e-02	1.063482467532467224e-02	1.072678571428571301e-02	1.067872077922077736e-02	1.071715584415584496e-02	1.070868831168830977e-02	1.062524675324675455e-02	1.067536363636363735e-02	1.066875974025974227e-02	1.067613636363636334e-02	1.062422077922078184e-02	1.067348051948052191e-02	1.058694155844155764e-02	1.064501298701298927e-02	1.068260389610389480e-02	1.072622077922077803e-02	1.066274675324675389e-02	1.071842207792207853e-02	1.070547402597402629e-02	1.069194155844156204e-02	1.073167532467532437e-02	1.073212987012987091e-02	1.073964285714285732e-02	1.074601298701298620e-02	1.073652597402597469e-02	1.070033116883116649e-02	1.073203896103896125e-02	1.074511038961038951e-02	1.074410389610389385e-02	1.065454545454545300e-02
1.068637012987013260e-02	1.064031168831168842e-02	1.063348051948052007e-02	1.054045454545454556e-02	1.064987662337662545e-02	1.059105194805195008e-02	1.061630519480519577e-02	1.061638961038961076e-02	1.053970779220779475e-02	1.058567532467532407e-02	1.056325974025974085e-02	1.061152597402597458e-02	1.054747402597402788e-02	1.058578571428571251e-02	1.050388311688311635e-02	1.055553896103895821e-02	1.056059740259740302e-02	1.062312337662337652e-02	1.055544805194805376e-02	1.060414285714285539e-02	1.060896753246753574e-02	1.059099350649350506e-02	1.062968181818181937e-02	1.062361038961038943e-02	1.064651948051948023e-02	1.065338311688311841e-02	1.065080519480519732e-02	1.059331818181818465e-02	1.062184415584415537e-02	1.062503896103896006e-02	1.065205844155844503e-02	1.054223376623376722e-02
1.061207142857142731e-02	1.056219480519480364e-02	1.056779220779220825e-02	1.048848701298701197e-02	1.056995454545454557e-02	1.052667532467532405e-02	1.057958441558441709e-02	1.054573376623376552e-02	1.049589610389610461e-02	1.053155194805194782e-02	1.050361688311688378e-02	1.054629870129870396e-02	1.049116883116883031e-02	1.055307792207792195e-02	1.044393506493506742e-02	1.049674025974025801e-02	1.053622727272727176e-02	1.059483116883116680e-02	1.050522077922077906e-02	1.055737012987013196e-02	1.054631168831168808e-02	1.052895454545454620e-02	1.058198701298701180e-02	1.059138961038960831e-02	1.058583766233766287e-02	1.058506493506493860e-02	1.058331168831168866e-02	1.054040909090908813e-02	1.055591558441558615e-02	1.057247402597402686e-02	1.057319480519480596e-02	1.047958441558441423e-02
1.056930519480519561e-02	1.051900649350649350e-02	1.052784415584415677e-02	1.043497402597402812e-02	1.050843506493506253e-02	1.046953896103895894e-02	1.051950000000000107e-02	1.048932467532467765e-02	1.041553246753246405e-02	1.049072077922078017e-02	1.047683766233766314e-02	1.050081168831168942e-02	1.043490259740259725e-02	1.049669480519480752e-02	1.039107792207792300e-02	1.044297402597402571e-02	1.049203896103896062e-02	1.052962337662337496e-02	1.045304545454545618e-02	1.049953246753246999e-02	1.049005194805194795e-02	1.048715584415584393e-02	1.051829870129870198e-02	1.051956493506493381e-02	1.052299350649350471e-02	1.052211038961039201e-02	1.051792857142857217e-02	1.047913636363636582e-02	1.052301298701298696e-02	1.051077272727272797e-02	1.050710389610389969e-02	1.042091558441558818e-02
1.056427922077921890e-02	1.051785714285714476e-02	1.051019480519480541e-02	1.043602597402597601e-02	1.051805844155844286e-02	1.049199999999999959e-02	1.052910389610389741e-02	1.050274675324675347e-02	1.041903896103896048e-02	1.048329220779220354e-02	1.046729220779220662e-02	1.049642857142857495e-02	1.043240259740259648e-02	1.049031818181818052e-02	1.039435714285714615e-02	1.044868181818181876e-02	1.045282467532467237e-02	1.050771428571428689e-02	1.044814285714285550e-02	1.048774675324675408e-02	1.047534415584415630e-02	1.047263636363636452e-02	1.049479220779220810e-02	1.051024025974026110e-02	1.051091558441558625e-02	1.052794805194804881e-02	1.051061038961038745e-02	1.048842857142857389e-02	1.049514935064934859e-02	1.049929220779220740e-02	1.050508441558441371e-02	1.040828571428571540e-02
1.055672727272727318e-02	1.050679870129869915e-02	1.049711688311688249e-02	1.042009740259740129e-02	1.050038961038961272e-02	1.046350649350649524e-02	1.052515584415584203e-02	1.047675324675324988e-02	1.040878571428571417e-02	1.047941558441558424e-02	1.046868181818181795e-02	1.049389610389610088e-02	1.043548701298701621e-02	1.049096753246753222e-02	1.038720779220778968e-02	1.043876623376623590e-02	1.044691558441558470e-02	1.049720779220779387e-02	1.042177272727272744e-02	1.048564935064934776e-02	1.046300649350649301e-02	1.045590909090909036e-02	1.049440909090909244e-02	1.049661038961038732e-02	1.050450649350649288e-02	1.050766233766234001e-02	1.051938961038961264e-02	1.045598701298701243e-02	1.048018831168830850e-02	1.048455844155844231e-02	1.048430519480519733e-02	1.038618831168831337e-02
