# Peak times (rows) and Channels (cols)
# ch0	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16	ch17	ch18	ch19	ch20	ch21	ch22	ch23	ch24	ch25	ch26	ch27	ch28	ch29	ch30	ch31
1.848019953896602274e+01	2.189852926568357461e+01	2.526721702127086289e+01	2.515061651331831527e+01	2.694603377122503574e+01	2.663122220252011019e+01	2.596818513104063442e+01	2.691027742331914396e+01	2.553451528813500104e+01	2.401550830192856978e+01	2.276032020864381167e+01	2.494713833288298943e+01	2.370466418239245954e+01	2.442494880240284161e+01	2.557170553561103432e+01	2.957638880931882497e+01	2.696515343920742325e+01	2.522471890824553853e+01	2.584959479372935931e+01	2.671771170965058317e+01	2.482168727141650422e+01	2.385092031767327825e+01	2.650504629311181048e+01	2.832004512708268962e+01	2.430899650335241802e+01	2.539302195485996094e+01	2.518067600363421477e+01	2.441717428368810872e+01	2.259311025511981086e+01	2.222260054539072271e+01	2.123548680864180227e+01	2.081105629226926013e+01
8.339602868242588229e+00	9.792466492156099989e+00	1.097621993219888026e+01	1.098770908788542577e+01	1.177153770753846729e+01	1.165735390215120759e+01	1.155568760394637984e+01	1.223981499043184051e+01	1.117756395642628320e+01	1.071018762674118641e+01	1.006366116281743572e+01	1.098630128842277998e+01	1.048855447618974779e+01	1.069922913111033402e+01	1.113967822695072307e+01	1.371101323754010615e+01	1.283531129345914934e+01	1.147025714620208525e+01	1.200242304703512808e+01	1.283657275132268261e+01	1.159288467121104560e+01	1.155188118879345005e+01	1.269435717159399957e+01	1.348042992637845927e+01	1.154263938620625929e+01	1.153312095661881287e+01	1.118059032430756794e+01	1.067007385166569478e+01	9.884814161126145748e+00	9.773428262385721155e+00	9.592151739833978397e+00	1.020271414869592519e+01
5.353379399967836960e+00	6.170711385245627234e+00	6.661453219831241057e+00	6.651351441624475669e+00	7.275096150567359032e+00	6.953076369492858788e+00	7.279298798648122570e+00	7.494021884142052947e+00	6.940334213854545631e+00	6.898276886295591659e+00	6.136247713383155222e+00	7.048695694949527635e+00	6.502681293128243389e+00	6.853376904855007723e+00	7.198715163138488471e+00	8.983999053873503726e+00	8.245429703781361752e+00	7.160518905777709442e+00	7.625750520440594649e+00	8.228734471350986013e+00	7.530901074904649661e+00	7.649900326148046936e+00	8.365435493744483253e+00	8.728971932593207583e+00	7.427110811075865016e+00	7.371637267256169856e+00	6.775396667354613101e+00	6.395328294935295865e+00	6.140984937288154200e+00	6.014798334108967026e+00	6.145630561626690636e+00	6.888495917107014144e+00
3.898825977137220011e+00	4.669063717706152694e+00	4.985416231369252493e+00	5.000067899538964689e+00	5.449587048575331494e+00	5.248635632238153548e+00	5.366391338693070168e+00	5.399028708943860444e+00	5.078555306383893075e+00	5.048335963463603804e+00	4.634836674576570559e+00	5.216366168128921288e+00	4.968880658659452720e+00	5.281400477146189765e+00	5.187668069566518270e+00	6.645274937878792088e+00	6.289184287330114032e+00	5.574058126715221384e+00	5.909803296218918867e+00	6.153535487831365280e+00	5.928888513035136754e+00	5.802267143108803538e+00	6.349562504613997405e+00	6.623873187191916756e+00	5.453240412818785465e+00	5.289437682778765470e+00	4.879276995621379065e+00	4.864153677670968179e+00	4.581527692811645736e+00	4.489939754606958822e+00	4.722816850143567002e+00	5.081350607860079194e+00
3.430183522787082495e+00	3.992346553093807149e+00	4.188985557387373326e+00	4.249201219052823220e+00	4.707142551484924553e+00	4.254618079216982096e+00	4.660133474483322047e+00	4.697811298892283105e+00	4.411606396767508542e+00	4.333111584069812672e+00	3.984226901169158896e+00	4.285137103990956042e+00	4.413170742221515397e+00	4.553651721420951759e+00	4.398835755060649610e+00	5.413490463647276485e+00	1.189594199716861311e+01	4.707570073827898050e+00	4.924540587709680395e+00	5.022509332992822095e+00	4.892724292252732532e+00	4.712376894943782091e+00	5.207337035376142786e+00	5.355998412994537716e+00	4.569249281884279590e+00	4.604029105033981217e+00	4.037299964084908765e+00	3.984419656612490535e+00	4.025009813652633106e+00	3.798038967677924926e+00	3.842014966134307485e+00	4.158864748942914247e+00
2.911692119713208626e+00	3.439116020142384933e+00	3.413057134007575044e+00	3.413490735303085888e+00	3.958039792624627129e+00	3.505442054862696111e+00	3.846295750459135299e+00	3.814532212473765060e+00	3.583584657853083666e+00	3.636508077813110695e+00	3.488247554288542496e+00	3.697327548378693596e+00	3.639340050064022503e+00	3.860295843585048292e+00	3.509403937992888967e+00	4.315411336130079434e+00	4.017650557228689578e+00	3.567548037518205817e+00	3.787626037506870880e+00	4.092925481852803138e+00	4.099387149318785895e+00	3.842082247948369833e+00	3.860952732163397183e+00	4.170889473481645737e+00	3.513788695980450960e+00	3.482774612288312088e+00	3.236646258088764494e+00	3.195626855563709956e+00	3.167345260624424341e+00	3.042702581587625410e+00	2.979680519787314186e+00	3.491700874931871645e+00
2.702007401914361839e+00	3.228695711893581066e+00	3.309924470437354049e+00	3.141143740741578760e+00	3.419298173602296043e+00	3.299039860323000450e+00	3.593323670364248823e+00	3.466097373127304593e+00	3.254116777253083903e+00	3.374356086722325010e+00	3.257960097975418634e+00	3.404478080411151630e+00	3.610398315975676287e+00	3.498085047565310468e+00	3.243683708378485520e+00	3.644413670263023430e+00	3.448071344969532603e+00	3.034320352237053875e+00	3.117714547549213400e+00	3.390984370356194599e+00	3.229318194294269251e+00	3.178432160672931772e+00	3.182383383566473878e+00	3.621265524647426570e+00	2.905131838660682586e+00	2.938268878098122538e+00	2.809025453782859838e+00	2.961577957778589898e+00	2.780237220094716744e+00	2.728694742912809001e+00	2.642347251971246536e+00	2.966894672886113860e+00
2.609674309181128304e+00	3.492099511755069940e+00	3.287490836489129986e+00	3.089073485691137932e+00	3.280362022704201408e+00	3.200348574764942722e+00	3.615317275150273790e+00	3.406863513556127376e+00	3.214852873771986363e+00	3.491259944489955025e+00	3.239646740001137726e+00	3.468266281587963906e+00	3.390276537393373424e+00	3.624935723568074142e+00	3.343457940516076032e+00	3.521931146402496271e+00	3.307644327916773097e+00	2.852197573801646957e+00	2.958107503117491710e+00	2.943064899046570648e+00	3.098967570014245165e+00	2.736489539537835913e+00	3.010579844481790612e+00	3.310170841512564799e+00	2.552366744807650356e+00	2.613457288726946270e+00	2.517504915586064929e+00	2.534614566359153276e+00	2.558279890864171957e+00	2.589280788172653391e+00	2.540628071953862310e+00	2.727631756670977126e+00
