# Peak times (rows) and Channels (cols)
# ch0	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16	ch17	ch18	ch19	ch20	ch21	ch22	ch23	ch24	ch25	ch26	ch27	ch28	ch29	ch30	ch31
6.900000000000000000e+01	5.500000000000000000e+01	6.500000000000000000e+01	6.500000000000000000e+01	6.300000000000000000e+01	6.200000000000000000e+01	5.800000000000000000e+01	5.800000000000000000e+01	6.600000000000000000e+01	5.300000000000000000e+01	6.000000000000000000e+01	6.300000000000000000e+01	5.400000000000000000e+01	5.200000000000000000e+01	6.900000000000000000e+01	7.000000000000000000e+01	6.000000000000000000e+01	6.900000000000000000e+01	6.000000000000000000e+01	5.800000000000000000e+01	6.000000000000000000e+01	5.900000000000000000e+01	6.500000000000000000e+01	7.200000000000000000e+01	5.800000000000000000e+01	6.000000000000000000e+01	7.700000000000000000e+01	7.400000000000000000e+01	6.700000000000000000e+01	7.500000000000000000e+01	6.600000000000000000e+01	6.300000000000000000e+01
3.100000000000000000e+01	2.500000000000000000e+01	4.800000000000000000e+01	3.600000000000000000e+01	4.200000000000000000e+01	4.600000000000000000e+01	2.600000000000000000e+01	1.900000000000000000e+01	5.400000000000000000e+01	2.800000000000000000e+01	4.500000000000000000e+01	3.300000000000000000e+01	3.700000000000000000e+01	3.300000000000000000e+01	5.600000000000000000e+01	7.800000000000000000e+01	4.600000000000000000e+01	4.900000000000000000e+01	3.800000000000000000e+01	4.000000000000000000e+01	4.400000000000000000e+01	2.000000000000000000e+01	3.300000000000000000e+01	5.000000000000000000e+01	1.800000000000000000e+01	4.100000000000000000e+01	5.500000000000000000e+01	4.100000000000000000e+01	3.100000000000000000e+01	4.000000000000000000e+01	3.900000000000000000e+01	2.800000000000000000e+01
2.900000000000000000e+01	1.800000000000000000e+01	2.200000000000000000e+01	2.800000000000000000e+01	3.600000000000000000e+01	2.900000000000000000e+01	1.200000000000000000e+01	3.000000000000000000e+01	3.100000000000000000e+01	2.300000000000000000e+01	3.200000000000000000e+01	3.100000000000000000e+01	3.900000000000000000e+01	2.800000000000000000e+01	4.100000000000000000e+01	5.300000000000000000e+01	2.600000000000000000e+01	2.800000000000000000e+01	3.500000000000000000e+01	3.300000000000000000e+01	1.500000000000000000e+01	4.600000000000000000e+01	3.200000000000000000e+01	5.400000000000000000e+01	1.500000000000000000e+01	2.700000000000000000e+01	1.800000000000000000e+01	1.700000000000000000e+01	2.000000000000000000e+01	3.800000000000000000e+01	1.400000000000000000e+01	2.900000000000000000e+01
4.100000000000000000e+01	2.000000000000000000e+00	5.700000000000000000e+01	4.100000000000000000e+01	3.000000000000000000e+01	5.800000000000000000e+01	1.300000000000000000e+01	2.100000000000000000e+01	2.500000000000000000e+01	2.400000000000000000e+01	5.000000000000000000e+00	2.800000000000000000e+01	5.700000000000000000e+01	2.100000000000000000e+01	2.800000000000000000e+01	5.200000000000000000e+01	3.700000000000000000e+01	4.500000000000000000e+01	4.600000000000000000e+01	1.700000000000000000e+01	9.000000000000000000e+00	2.900000000000000000e+01	3.800000000000000000e+01	4.300000000000000000e+01	1.300000000000000000e+01	2.900000000000000000e+01	5.200000000000000000e+01	2.100000000000000000e+01	3.600000000000000000e+01	1.300000000000000000e+01	1.300000000000000000e+01	8.000000000000000000e+00
1.900000000000000000e+01	3.700000000000000000e+01	2.400000000000000000e+01	2.300000000000000000e+01	3.900000000000000000e+01	2.400000000000000000e+01	3.300000000000000000e+01	1.200000000000000000e+01	7.000000000000000000e+00	1.800000000000000000e+01	2.300000000000000000e+01	6.000000000000000000e+00	7.000000000000000000e+00	3.800000000000000000e+01	9.000000000000000000e+00	3.900000000000000000e+01	3.000000000000000000e+01	4.000000000000000000e+01	5.300000000000000000e+01	1.900000000000000000e+01	7.000000000000000000e+00	2.500000000000000000e+01	2.200000000000000000e+01	1.600000000000000000e+01	2.700000000000000000e+01	1.400000000000000000e+01	1.700000000000000000e+01	1.500000000000000000e+01	4.000000000000000000e+00	1.700000000000000000e+01	3.300000000000000000e+01	2.000000000000000000e+00
5.000000000000000000e+00	1.000000000000000000e+01	6.000000000000000000e+00	2.400000000000000000e+01	2.400000000000000000e+01	8.000000000000000000e+00	1.100000000000000000e+01	1.800000000000000000e+01	9.000000000000000000e+00	2.300000000000000000e+01	2.600000000000000000e+01	9.000000000000000000e+00	1.700000000000000000e+01	1.200000000000000000e+01	2.000000000000000000e+01	3.700000000000000000e+01	2.000000000000000000e+01	3.200000000000000000e+01	1.400000000000000000e+01	5.000000000000000000e+00	7.000000000000000000e+00	1.500000000000000000e+01	1.800000000000000000e+01	1.800000000000000000e+01	2.400000000000000000e+01	2.200000000000000000e+01	1.400000000000000000e+01	1.100000000000000000e+01	1.100000000000000000e+01	9.000000000000000000e+00	4.000000000000000000e+00	6.000000000000000000e+00
4.000000000000000000e+00	7.700000000000000000e+01	3.000000000000000000e+00	1.000000000000000000e+01	2.300000000000000000e+01	1.000000000000000000e+00	9.000000000000000000e+00	5.000000000000000000e+00	9.000000000000000000e+00	8.800000000000000000e+01	8.000000000000000000e+00	2.000000000000000000e+01	3.000000000000000000e+01	1.900000000000000000e+01	1.100000000000000000e+01	1.500000000000000000e+01	2.300000000000000000e+01	3.900000000000000000e+01	3.000000000000000000e+00	1.900000000000000000e+01	7.000000000000000000e+00	1.200000000000000000e+01	1.500000000000000000e+01	1.600000000000000000e+01	5.600000000000000000e+01	5.000000000000000000e+00	2.000000000000000000e+00	3.200000000000000000e+01	5.000000000000000000e+00	2.000000000000000000e+00	3.600000000000000000e+01	4.000000000000000000e+00
3.000000000000000000e+00	1.300000000000000000e+01	6.000000000000000000e+00	9.000000000000000000e+00	7.100000000000000000e+01	8.000000000000000000e+00	3.000000000000000000e+00	5.000000000000000000e+00	1.600000000000000000e+01	1.800000000000000000e+01	1.000000000000000000e+01	9.000000000000000000e+00	1.500000000000000000e+01	2.200000000000000000e+01	1.400000000000000000e+01	1.000000000000000000e+01	1.600000000000000000e+01	4.100000000000000000e+01	5.000000000000000000e+00	7.000000000000000000e+00	4.000000000000000000e+00	3.000000000000000000e+01	6.000000000000000000e+00	8.000000000000000000e+00	2.100000000000000000e+01	1.700000000000000000e+01	2.500000000000000000e+01	2.300000000000000000e+01	1.500000000000000000e+01	1.700000000000000000e+01	2.500000000000000000e+01	6.000000000000000000e+00
